,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-09-30,AP,state,122836,Amapá,352,1.22836,286.6
1,2021-09-30,RO,state,265879,Rondônia,38,2.65879,14.3
2,2021-09-30,RJ,state,1285731,Rio de Janeiro,6694,12.85731,520.6
3,2021-09-30,RN,state,368716,Rio Grande do Norte,281,3.68716,76.2
4,2021-09-30,PR,state,1511509,Paraná,1970,15.11509,130.3
5,2021-09-30,RR,state,126220,Roraima,40,1.2622,31.7
6,2021-09-30,SE,state,278104,Sergipe,411,2.78104,147.8
7,2021-09-30,SC,state,1192421,Santa Catarina,1139,11.92421,95.5
8,2021-09-30,RS,state,1436962,Rio Grande do Sul,2153,14.36962,149.8
9,2021-09-30,TO,state,224657,Tocantins,203,2.24657,90.4
10,2021-09-30,AC,state,87924,Acre,133,0.87924,151.3
11,2021-09-30,AM,state,426476,Amazonas,2239,4.26476,525.0
12,2021-09-30,DF,state,495249,Distrito Federal,316,4.95249,63.8
13,2021-09-30,AL,state,238210,Alagoas,571,2.3821,239.7
14,2021-09-30,ES,state,586117,Espírito Santo,804,5.86117,137.2
15,2021-09-30,CE,state,940463,Ceará,1273,9.40463,135.4
16,2021-09-30,MA,state,356236,Maranhão,360,3.56236,101.1
17,2021-09-30,GO,state,864733,Goiás,2781,8.64733,321.6
18,2021-09-30,BA,state,1233799,Bahia,1134,12.33799,91.9
19,2021-09-30,MS,state,373084,Mato Grosso do Sul,363,3.73084,97.3
20,2021-09-30,MT,state,537141,Mato Grosso,243,5.37141,45.2
21,2021-09-30,PB,state,441674,Paraíba,670,4.41674,151.7
22,2021-09-30,PI,state,319410,Piauí,141,3.1941,44.1
23,2021-09-30,PA,state,591574,Pará,605,5.91574,102.3
24,2021-09-30,MG,state,2140378,Minas Gerais,876,21.40378,40.9
25,2021-09-30,PE,state,620723,Pernambuco,1935,6.20723,311.7
26,2021-09-30,SP,state,4366132,São Paulo,17576,43.66132,402.6
