Linhagem,Frequencia,Porcentagem
AY.99.2 (Delta),377,33.7
AY.*+B.1.617.2 (Delta),306,27.3
BA.1+B.1.1.529 (Omicron),197,17.6
AY.43.2 (Delta),82,7.3
AY.101 (Delta),78,7.0
AY.43.1 (Delta),44,3.9
AY.46.3 (Delta),13,1.2
AY.34.1 (Delta),11,1.0
AY.99.1 (Delta),10,0.9
P.1 (Gama),2,0.2
