Data,Periodo,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.33,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,N.9,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,P.2,Outras,Não VOC/VOI,4
2020-11-01,Nov 2020,Norte,Amapá,Outros,P.2,Outras,Não VOC/VOI,5
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,11
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.378,Outras,Não VOC/VOI,11
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,N.9,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,P.2,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.28,Outras,Não VOC/VOI,7
2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.33,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.378,Outras,Não VOC/VOI,6
2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.39,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Norte,Amazonas,Outros,P.2,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Norte,Pará,Outros,B.1,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Norte,Pará,Outros,B.1.1,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Norte,Pará,Outros,B.1.1.28,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Norte,Pará,Outros,P.2,Outras,Não VOC/VOI,11
2020-11-01,Nov 2020,Norte,Roraima,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,7
2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,P.2,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,P.2,Outras,Não VOC/VOI,5
2020-11-01,Nov 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,4
