,Linhagem,Frequência,Porcentagem
0,AY.99.2 (Delta),1577,47.14499252615845
1,AY.43 (Delta),598,17.87742899850523
2,AY.101 (Delta),247,7.3841554559043345
3,AY.34.1 (Delta),206,6.158445440956652
4,AY.100 (Delta),148,4.424514200298954
5,AY.46.3 (Delta),145,4.334828101644246
6,AY.36 (Delta),85,2.5411061285500747
7,AY.99.1 (Delta),55,1.6442451420029895
8,AY.116 (Delta),37,1.1061285500747384
9,AY.5 (Delta),37,1.1061285500747384
10,AY.34 (Delta),28,0.837070254110613
11,P.1.7 (Gama),21,0.6278026905829596
12,AY.26 (Delta),16,0.4783258594917788
13,B.1.617.2 (Delta),15,0.4484304932735426
14,P.1 (Gama),14,0.4185351270553065
15,AY.102 (Delta),14,0.4185351270553065
16,AY.6 (Delta),14,0.4185351270553065
17,AY.42 (Delta),8,0.2391629297458894
18,AY.9.2 (Delta),7,0.20926756352765324
19,AY.5.3 (Delta),7,0.20926756352765324
20,P.1.4 (Gama),6,0.17937219730941703
21,AY.39 (Delta),6,0.17937219730941703
22,AY.84 (Delta),6,0.17937219730941703
23,AY.46 (Delta),6,0.17937219730941703
24,AY.119 (Delta),6,0.17937219730941703
25,AY.106 (Delta),5,0.14947683109118087
26,AY.118 (Delta),5,0.14947683109118087
27,AY.25 (Delta),4,0.1195814648729447
28,AY.103 (Delta),3,0.08968609865470852
29,AY.99 (Delta),2,0.05979073243647235
30,AY.92 (Delta),2,0.05979073243647235
31,AY.44 (Delta),2,0.05979073243647235
32,AY.117 (Delta),2,0.05979073243647235
33,AY.120 (Delta),1,0.029895366218236175
34,P.1.8 (Gama),1,0.029895366218236175
35,AY.111 (Delta),1,0.029895366218236175
36,P.1.10 (Gama),1,0.029895366218236175
37,B,1,0.029895366218236175
38,AY.41 (Delta),1,0.029895366218236175
39,AY.121 (Delta),1,0.029895366218236175
40,P.1.12 (Gama),1,0.029895366218236175
41,AY.98.1 (Delta),1,0.029895366218236175
42,B.1.397,1,0.029895366218236175
43,P.1.6 (Gama),1,0.029895366218236175
