,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-11-19,AP,state,124236,Amapá,356,1.24236,286.6
1,2021-11-19,PR,state,1571613,Paraná,2202,15.71613,140.1
2,2021-11-19,SC,state,1227536,Santa Catarina,1334,12.27536,108.7
3,2021-11-19,TO,state,231292,Tocantins,205,2.31292,88.6
4,2021-11-19,RS,state,1483685,Rio Grande do Sul,2265,14.83685,152.7
5,2021-11-19,SE,state,278676,Sergipe,428,2.78676,153.6
6,2021-11-19,RN,state,379236,Rio Grande do Norte,676,3.79236,178.3
7,2021-11-19,RO,state,274763,Rondônia,171,2.74763,62.2
8,2021-11-19,RR,state,128108,Roraima,240,1.28108,187.3
9,2021-11-19,PI,state,329370,Piauí,143,3.2937,43.4
10,2021-11-19,PE,state,637077,Pernambuco,2383,6.37077,374.1
11,2021-11-19,RJ,state,1336274,Rio de Janeiro,7779,13.36274,582.1
12,2021-11-19,SP,state,4429036,São Paulo,38559,44.29036,870.6
13,2021-11-19,PB,state,458536,Paraíba,1101,4.58536,240.1
14,2021-11-19,PA,state,604217,Pará,785,6.04217,129.9
15,2021-11-19,MA,state,363515,Maranhão,509,3.63515,140.0
16,2021-11-19,MS,state,377872,Mato Grosso do Sul,416,3.77872,110.1
17,2021-11-19,GO,state,926308,Goiás,3080,9.26308,332.5
18,2021-11-19,BA,state,1254647,Bahia,1210,12.54647,96.4
19,2021-11-19,ES,state,615682,Espírito Santo,1111,6.15682,180.5
20,2021-11-19,CE,state,948914,Ceará,2077,9.48914,218.9
21,2021-11-19,AL,state,241096,Alagoas,1284,2.41096,532.6
22,2021-11-19,DF,state,517109,Distrito Federal,353,5.17109,68.3
23,2021-11-19,AM,state,428981,Amazonas,3000,4.28981,699.3
24,2021-11-19,AC,state,88127,Acre,229,0.88127,259.9
25,2021-11-19,MT,state,551070,Mato Grosso,253,5.5107,45.9
26,2021-11-19,MG,state,2201241,Minas Gerais,1376,22.01241,62.5
