,Linhagem,Frequência,Porcentagem
0,B.1.617.2 (Delta),611,51.77966101694915
1,AY.43 (Delta),228,19.322033898305087
2,AY.34 (Delta),89,7.5423728813559325
3,AY.46.3 (Delta),80,6.779661016949152
4,AY.39 (Delta),44,3.728813559322034
5,AY.36 (Delta),34,2.8813559322033897
6,AY.46 (Delta),16,1.3559322033898304
7,AY.5 (Delta),16,1.3559322033898304
8,P.1.7 (Gama),11,0.9322033898305085
9,P.1 (Gama),7,0.5932203389830508
10,AY.42 (Delta),6,0.5084745762711864
11,P.1.4 (Gama),6,0.5084745762711864
12,AY.6 (Delta),4,0.3389830508474576
13,AY.26 (Delta),4,0.3389830508474576
14,AY.9 (Delta),3,0.2542372881355932
15,AY.33 (Delta),3,0.2542372881355932
16,AY.44 (Delta),3,0.2542372881355932
17,AY.7.2 (Delta),3,0.2542372881355932
18,AY.5.2 (Delta),2,0.1694915254237288
19,AY.45 (Delta),2,0.1694915254237288
20,AY.47 (Delta),2,0.1694915254237288
21,AY.14 (Delta),1,0.0847457627118644
22,AY.13 (Delta),1,0.0847457627118644
23,P.1.6 (Gama),1,0.0847457627118644
24,P.1.8 (Gama),1,0.0847457627118644
25,AY.46.6 (Delta),1,0.0847457627118644
26,AY.39.1 (Delta),1,0.0847457627118644
