,Date,Período,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
461,2020-09,Set 2020,Centro-oeste,Distrito Federal,Outros,B.1.1,Não VOC/VOI,Não VOC/VOI,1
462,2020-09,Set 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
463,2020-09,Set 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
464,2020-09,Set 2020,Centro-oeste,Distrito Federal,Outros,P.2,P.2,Não VOC/VOI,2
465,2020-09,Set 2020,Centro-oeste,Goiás,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
466,2020-09,Set 2020,Centro-oeste,Goiás,Outros,B.1.1,Não VOC/VOI,Não VOC/VOI,1
467,2020-09,Set 2020,Centro-oeste,Goiás,Outros,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
468,2020-09,Set 2020,Centro-oeste,Goiás,Outros,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
469,2020-09,Set 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
470,2020-09,Set 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
471,2020-09,Set 2020,Nordeste,Bahia,FIOCRUZ,B.1.1,Não VOC/VOI,Não VOC/VOI,3
472,2020-09,Set 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.28,Não VOC/VOI,Não VOC/VOI,6
473,2020-09,Set 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,9
474,2020-09,Set 2020,Nordeste,Bahia,Outros,B.1.1.28,Não VOC/VOI,Não VOC/VOI,3
475,2020-09,Set 2020,Nordeste,Bahia,Outros,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
476,2020-09,Set 2020,Nordeste,Bahia,Outros,N.1,Não VOC/VOI,Não VOC/VOI,1
477,2020-09,Set 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
478,2020-09,Set 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,Não VOC/VOI,Não VOC/VOI,9
479,2020-09,Set 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
480,2020-09,Set 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,Não VOC/VOI,Não VOC/VOI,39
481,2020-09,Set 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.277,Não VOC/VOI,Não VOC/VOI,2
