,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-11-12,AP,state,123995,Amapá,356,1.23995,287.1
1,2021-11-12,MG,state,2196054,Minas Gerais,989,21.96054,45.0
2,2021-11-12,RS,state,1478555,Rio Grande do Sul,2258,14.78555,152.7
3,2021-11-12,TO,state,230402,Tocantins,205,2.30402,89.0
4,2021-11-12,SC,state,1224148,Santa Catarina,1334,12.24148,109.0
5,2021-11-12,SE,state,278610,Sergipe,428,2.7861,153.6
6,2021-11-12,RN,state,377415,Rio Grande do Norte,598,3.77415,158.4
7,2021-11-12,RJ,state,1331675,Rio de Janeiro,7778,13.31675,584.1
8,2021-11-12,RO,state,273094,Rondônia,120,2.73094,43.9
9,2021-11-12,RR,state,127851,Roraima,240,1.27851,187.7
10,2021-11-12,PB,state,457031,Paraíba,1101,4.57031,240.9
11,2021-11-12,PI,state,328326,Piauí,143,3.28326,43.6
12,2021-11-12,PR,state,1568053,Paraná,2201,15.68053,140.4
13,2021-11-12,PE,state,635488,Pernambuco,2190,6.35488,344.6
14,2021-11-12,MT,state,549958,Mato Grosso,253,5.49958,46.0
15,2021-11-12,MS,state,377266,Mato Grosso do Sul,416,3.77266,110.3
16,2021-11-12,BA,state,1251326,Bahia,1210,12.51326,96.7
17,2021-11-12,GO,state,919364,Goiás,3080,9.19364,335.0
18,2021-11-12,MA,state,362660,Maranhão,509,3.6266,140.4
19,2021-11-12,CE,state,948112,Ceará,1896,9.48112,200.0
20,2021-11-12,ES,state,612832,Espírito Santo,1111,6.12832,181.3
21,2021-11-12,AL,state,240791,Alagoas,1115,2.40791,463.1
22,2021-11-12,DF,state,516470,Distrito Federal,353,5.1647,68.3
23,2021-11-12,AM,state,428538,Amazonas,2947,4.28538,687.7
24,2021-11-12,AC,state,88094,Acre,229,0.88094,259.9
25,2021-11-12,PA,state,601995,Pará,785,6.01995,130.4
26,2021-11-12,SP,state,4420263,São Paulo,36902,44.20263,834.8
