,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-11-25,AP,state,124438,Amapá,395,1.24438,317.4
1,2021-11-25,TO,state,232191,Tocantins,223,2.32191,96.0
2,2021-11-25,SE,state,278174,Sergipe,428,2.78174,153.9
3,2021-11-25,SC,state,1230663,Santa Catarina,1365,12.30663,110.9
4,2021-11-25,RR,state,128289,Roraima,250,1.28289,194.9
5,2021-11-25,RN,state,380839,Rio Grande do Norte,692,3.80839,181.7
6,2021-11-25,PR,state,1576413,Paraná,2220,15.76413,140.8
7,2021-11-25,RJ,state,1340886,Rio de Janeiro,8493,13.40886,633.4
8,2021-11-25,RO,state,276366,Rondônia,171,2.76366,61.9
9,2021-11-25,MG,state,2204754,Minas Gerais,1437,22.04754,65.2
10,2021-11-25,PI,state,330963,Piauí,143,3.30963,43.2
11,2021-11-25,PE,state,638595,Pernambuco,2447,6.38595,383.2
12,2021-11-25,RS,state,1488101,Rio Grande do Sul,2266,14.88101,152.3
13,2021-11-25,PB,state,459500,Paraíba,1124,4.595,244.6
14,2021-11-25,MT,state,552095,Mato Grosso,253,5.52095,45.8
15,2021-11-25,GO,state,933208,Goiás,3081,9.33208,330.2
16,2021-11-25,MA,state,364297,Maranhão,510,3.64297,140.0
17,2021-11-25,MS,state,378445,Mato Grosso do Sul,451,3.78445,119.2
18,2021-11-25,BA,state,1257612,Bahia,1274,12.57612,101.3
19,2021-11-25,CE,state,949458,Ceará,2099,9.49458,221.1
20,2021-11-25,ES,state,618550,Espírito Santo,1111,6.1855,179.6
21,2021-11-25,AM,state,429471,Amazonas,3006,4.29471,699.9
22,2021-11-25,DF,state,517533,Distrito Federal,353,5.17533,68.2
23,2021-11-25,AL,state,241379,Alagoas,1354,2.41379,560.9
24,2021-11-25,AC,state,88192,Acre,229,0.88192,259.7
25,2021-11-25,PA,state,607108,Pará,790,6.07108,130.1
26,2021-11-25,SP,state,4435125,São Paulo,38633,44.35125,871.1
