,Date,Período,Região,Estado,Linhagens relevantes,Frequência
0,2020-02,Fev 2020,Nordeste,Bahia,B.1.1,1
1,2020-02,Fev 2020,Sudeste,Espírito Santo,Outras,1
2,2020-02,Fev 2020,Sudeste,São Paulo,Outras,4
3,2020-02,Fev 2020,Sul,Paraná,B.1.1,2
4,2020-03,Mar 2020,Centro-oeste,Distrito Federal,B.1.1,1
5,2020-03,Mar 2020,Centro-oeste,Distrito Federal,B.1.1.33,3
6,2020-03,Mar 2020,Centro-oeste,Distrito Federal,Outras,1
7,2020-03,Mar 2020,Centro-oeste,Goiás,Outras,3
8,2020-03,Mar 2020,Centro-oeste,Mato Grosso,B.1.1.33,1
9,2020-03,Mar 2020,Centro-oeste,Mato Grosso,Outras,2
10,2020-03,Mar 2020,Centro-oeste,Mato Grosso do Sul,B.1.1,1
11,2020-03,Mar 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,1
12,2020-03,Mar 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,2
13,2020-03,Mar 2020,Centro-oeste,Mato Grosso do Sul,Outras,1
14,2020-03,Mar 2020,Nordeste,Alagoas,B.1.1.28,1
15,2020-03,Mar 2020,Nordeste,Bahia,B.1.1,3
16,2020-03,Mar 2020,Nordeste,Bahia,B.1.1.28,4
17,2020-03,Mar 2020,Nordeste,Bahia,B.1.1.33,9
18,2020-03,Mar 2020,Nordeste,Bahia,Outras,9
19,2020-03,Mar 2020,Nordeste,Ceará,B.1.1.33,1
20,2020-03,Mar 2020,Nordeste,Ceará,Outras,26
21,2020-03,Mar 2020,Nordeste,Maranhão,B.1.1.33,4
22,2020-03,Mar 2020,Nordeste,Paraíba,Outras,1
23,2020-03,Mar 2020,Nordeste,Piauí,B.1.1.33,1
24,2020-03,Mar 2020,Nordeste,Rio Grande do Norte,B.1.1.33,1
25,2020-03,Mar 2020,Nordeste,Sergipe,B.1.1,1
26,2020-03,Mar 2020,Nordeste,Sergipe,B.1.1.28,1
27,2020-03,Mar 2020,Nordeste,Sergipe,B.1.1.33,1
28,2020-03,Mar 2020,Nordeste,Sergipe,Outras,3
29,2020-03,Mar 2020,Norte,Acre,B.1.1.33,3
30,2020-03,Mar 2020,Norte,Acre,Outras,3
31,2020-03,Mar 2020,Norte,Amapá,B.1.1.33,1
32,2020-03,Mar 2020,Norte,Amazonas,Outras,4
33,2020-03,Mar 2020,Norte,Pará,B.1.1,1
34,2020-03,Mar 2020,Norte,Pará,B.1.1.28,2
35,2020-03,Mar 2020,Norte,Pará,B.1.1.33,2
36,2020-03,Mar 2020,Norte,Pará,Outras,3
37,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.1,12
38,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.1.28,3
39,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.1.33,6
40,2020-03,Mar 2020,Sudeste,Minas Gerais,Outras,34
41,2020-03,Mar 2020,Sudeste,Rio de Janeiro,B.1.1,1
42,2020-03,Mar 2020,Sudeste,Rio de Janeiro,B.1.1.33,22
43,2020-03,Mar 2020,Sudeste,Rio de Janeiro,Outras,20
44,2020-03,Mar 2020,Sudeste,São Paulo,B.1.1,16
45,2020-03,Mar 2020,Sudeste,São Paulo,B.1.1.28,132
46,2020-03,Mar 2020,Sudeste,São Paulo,B.1.1.33,59
47,2020-03,Mar 2020,Sudeste,São Paulo,Outras,42
48,2020-03,Mar 2020,Sul,Paraná,B.1.1,1
49,2020-03,Mar 2020,Sul,Paraná,B.1.1.28,7
50,2020-03,Mar 2020,Sul,Paraná,B.1.1.33,10
51,2020-03,Mar 2020,Sul,Paraná,Outras,6
52,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1,3
53,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1.28,9
54,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1.33,11
55,2020-03,Mar 2020,Sul,Rio Grande do Sul,Outras,15
56,2020-03,Mar 2020,Sul,Santa Catarina,B.1.1,1
57,2020-03,Mar 2020,Sul,Santa Catarina,B.1.1.28,3
58,2020-03,Mar 2020,Sul,Santa Catarina,B.1.1.33,6
59,2020-03,Mar 2020,Sul,Santa Catarina,Outras,5
60,2020-04,Abr 2020,Centro-oeste,Distrito Federal,B.1.1.33,1
61,2020-04,Abr 2020,Centro-oeste,Goiás,B.1.1.33,4
62,2020-04,Abr 2020,Centro-oeste,Goiás,Outras,3
63,2020-04,Abr 2020,Centro-oeste,Mato Grosso,B.1.1.28,1
64,2020-04,Abr 2020,Centro-oeste,Mato Grosso,B.1.1.33,2
65,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,1
66,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,4
67,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,Outras,2
68,2020-04,Abr 2020,Nordeste,Alagoas,B.1.1.28,1
69,2020-04,Abr 2020,Nordeste,Alagoas,B.1.1.33,1
70,2020-04,Abr 2020,Nordeste,Bahia,B.1.1.28,5
71,2020-04,Abr 2020,Nordeste,Bahia,B.1.1.33,22
72,2020-04,Abr 2020,Nordeste,Bahia,Outras,3
73,2020-04,Abr 2020,Nordeste,Ceará,B.1.1.28,1
74,2020-04,Abr 2020,Nordeste,Ceará,B.1.1.33,9
75,2020-04,Abr 2020,Nordeste,Ceará,Outras,3
76,2020-04,Abr 2020,Nordeste,Maranhão,B.1.1.33,17
77,2020-04,Abr 2020,Nordeste,Paraíba,B.1.1,18
