,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-10-29,AP,state,123576,Amapá,352,1.23576,284.8
1,2021-10-29,PR,state,1552646,Paraná,2073,15.52646,133.5
2,2021-10-29,RR,state,127372,Roraima,238,1.27372,186.9
3,2021-10-29,SC,state,1215514,Santa Catarina,1204,12.15514,99.1
4,2021-10-29,RO,state,270027,Rondônia,120,2.70027,44.4
5,2021-10-29,RS,state,1464569,Rio Grande do Sul,2168,14.64569,148.0
6,2021-10-29,SE,state,278485,Sergipe,422,2.78485,151.5
7,2021-10-29,AC,state,88050,Acre,135,0.8805,153.3
8,2021-10-29,AM,state,427717,Amazonas,2938,4.27717,686.9
9,2021-10-29,DF,state,514733,Distrito Federal,353,5.14733,68.6
10,2021-10-29,AL,state,240033,Alagoas,1041,2.40033,433.7
11,2021-10-29,CE,state,943426,Ceará,1708,9.43426,181.0
12,2021-10-29,ES,state,606351,Espírito Santo,1003,6.06351,165.4
13,2021-10-29,GO,state,904558,Goiás,3004,9.04558,332.1
14,2021-10-29,PA,state,598401,Pará,652,5.98401,109.0
15,2021-10-29,PE,state,630976,Pernambuco,2135,6.30976,338.4
16,2021-10-29,PB,state,445662,Paraíba,704,4.45662,158.0
17,2021-10-29,MG,state,2183527,Minas Gerais,989,21.83527,45.3
18,2021-10-29,RJ,state,1320762,Rio de Janeiro,7708,13.20762,583.6
19,2021-10-29,RN,state,373290,Rio Grande do Norte,412,3.7329,110.4
20,2021-10-29,PI,state,325492,Piauí,143,3.25492,43.9
21,2021-10-29,TO,state,228681,Tocantins,204,2.28681,89.2
22,2021-10-29,BA,state,1245437,Bahia,1206,12.45437,96.8
23,2021-10-29,MS,state,376463,Mato Grosso do Sul,389,3.76463,103.3
24,2021-10-29,MA,state,360997,Maranhão,409,3.60997,113.3
25,2021-10-29,MT,state,546891,Mato Grosso,253,5.46891,46.3
26,2021-10-29,SP,state,4404843,São Paulo,35749,44.04843,811.6
