,Linhagem,Frequencia,Porcentagem
0,AY.99.2 (Delta),815,42.31568016614746
1,AY.*+B.1.617.2 (Delta),444,23.05295950155763
2,AY.34.1 (Delta),218,11.318795430944965
3,AY.43.1 (Delta),162,8.411214953271028
4,AY.43.2 (Delta),110,5.711318795430945
5,AY.101 (Delta),89,4.620976116303219
6,AY.46.3 (Delta),50,2.596053997923157
7,AY.99.1 (Delta),28,1.453790238836968
8,B.1.1.529 (Omicron),4,0.20768431983385255
9,P.1.* (Gama),2,0.10384215991692627
10,P.1 (Gama),2,0.10384215991692627
11,Outras,2,0.10384215991692627
