,Linhagem,Frequência,Porcentagem
0,AY.99.2 (Delta),1582,47.13945172824792
1,AY.43 (Delta),265,7.896305125148986
2,AY.101 (Delta),247,7.35995232419547
3,AY.34.1 (Delta),198,5.8998808104886775
4,AY.43.1 (Delta),165,4.916567342073898
5,AY.43.2 (Delta),157,4.67818831942789
6,AY.100 (Delta),152,4.529201430274136
7,AY.46.3 (Delta),149,4.439809296781883
8,AY.36 (Delta),84,2.5029797377830754
9,AY.99.1 (Delta),56,1.66865315852205
10,AY.34 (Delta),39,1.1620977353992847
11,AY.5 (Delta),37,1.102502979737783
12,AY.116 (Delta),36,1.0727056019070322
13,AY.122 (Delta),27,0.8045292014302742
14,P.1.7 (Gama),21,0.6257449344457688
15,AY.26 (Delta),16,0.47675804529201427
16,P.1 (Gama),14,0.4171632896305125
17,AY.6 (Delta),14,0.4171632896305125
18,AY.42 (Delta),12,0.3575685339690107
19,B.1.617.2 (Delta),11,0.32777115613825986
20,AY.9.2 (Delta),7,0.20858164481525626
21,AY.113 (Delta),7,0.20858164481525626
22,P.1.4 (Gama),6,0.17878426698450536
23,B.1,6,0.17878426698450536
24,AY.106 (Delta),6,0.17878426698450536
25,AY.119 (Delta),5,0.14898688915375446
26,AY.46 (Delta),4,0.11918951132300357
27,AY.103 (Delta),4,0.11918951132300357
28,AY.39 (Delta),3,0.08939213349225268
29,AY.55 (Delta),3,0.08939213349225268
30,AY.99 (Delta),3,0.08939213349225268
31,AY.44 (Delta),3,0.08939213349225268
32,AY.25 (Delta),2,0.05959475566150178
33,AY.41 (Delta),2,0.05959475566150178
34,AY.5.3 (Delta),2,0.05959475566150178
35,AY.75.1 (Delta),1,0.02979737783075089
36,AY.92 (Delta),1,0.02979737783075089
37,AY.120 (Delta),1,0.02979737783075089
38,AY.111 (Delta),1,0.02979737783075089
39,P.1.8 (Gama),1,0.02979737783075089
40,P.1.10 (Gama),1,0.02979737783075089
41,P.1.6 (Gama),1,0.02979737783075089
42,P.1.12 (Gama),1,0.02979737783075089
43,AY.121 (Delta),1,0.02979737783075089
44,B.1.397,1,0.02979737783075089
45,B,1,0.02979737783075089
