,Date,Período,Estado,Linhagem,Frequência
96,2020-04,Abr 2020,Mato Grosso do Sul,B.1.1.28,1
97,2020-04,Abr 2020,Mato Grosso do Sul,B.1.1.33,4
98,2020-04,Abr 2020,Mato Grosso do Sul,Outras,1
99,2020-04,Abr 2020,Minas Gerais,B.1,6
100,2020-04,Abr 2020,Minas Gerais,B.1.1.28,5
101,2020-04,Abr 2020,Minas Gerais,B.1.1.33,21
102,2020-04,Abr 2020,Paraná,B.1,1
103,2020-04,Abr 2020,Paraná,B.1.1.28,10
104,2020-04,Abr 2020,Paraná,B.1.1.33,5
105,2020-04,Abr 2020,Paraná,Outras,1
106,2020-04,Abr 2020,Paraíba,B.1,1
107,2020-04,Abr 2020,Paraíba,B.1.1,18
108,2020-04,Abr 2020,Paraíba,B.1.1.33,7
109,2020-04,Abr 2020,Pará,B.1.1.28,29
110,2020-04,Abr 2020,Pará,B.1.1.33,6
111,2020-04,Abr 2020,Pará,Outras,2
112,2020-04,Abr 2020,Pernambuco,B.1,4
113,2020-04,Abr 2020,Pernambuco,B.1.1,57
114,2020-04,Abr 2020,Pernambuco,B.1.1.28,5
115,2020-04,Abr 2020,Pernambuco,B.1.1.33,2
116,2020-04,Abr 2020,Pernambuco,Outras,5
117,2020-04,Abr 2020,Rio Grande do Norte,B.1.1,2
118,2020-04,Abr 2020,Rio Grande do Norte,B.1.1.33,1
119,2020-04,Abr 2020,Rio Grande do Norte,Outras,5
120,2020-04,Abr 2020,Rio Grande do Sul,B.1.1,1
121,2020-04,Abr 2020,Rio Grande do Sul,B.1.1.28,1
122,2020-04,Abr 2020,Rio Grande do Sul,B.1.1.33,21
123,2020-04,Abr 2020,Rio Grande do Sul,Outras,3
124,2020-04,Abr 2020,Rio de Janeiro,B.1,4
125,2020-04,Abr 2020,Rio de Janeiro,B.1.1,1
126,2020-04,Abr 2020,Rio de Janeiro,B.1.1.28,16
127,2020-04,Abr 2020,Rio de Janeiro,B.1.1.33,224
128,2020-04,Abr 2020,Rio de Janeiro,Outras,6
129,2020-04,Abr 2020,Roraima,B.1,1
130,2020-04,Abr 2020,Roraima,B.1.1.33,1
131,2020-04,Abr 2020,Santa Catarina,B.1.1.28,1
132,2020-04,Abr 2020,Santa Catarina,B.1.1.33,2
133,2020-04,Abr 2020,Sergipe,B.1,9
134,2020-04,Abr 2020,Sergipe,B.1.1,3
135,2020-04,Abr 2020,Sergipe,B.1.1.28,1
136,2020-04,Abr 2020,Sergipe,B.1.1.33,6
137,2020-04,Abr 2020,Sergipe,Outras,3
138,2020-04,Abr 2020,São Paulo,B.1,17
139,2020-04,Abr 2020,São Paulo,B.1.1,22
140,2020-04,Abr 2020,São Paulo,B.1.1.28,310
141,2020-04,Abr 2020,São Paulo,B.1.1.33,87
142,2020-04,Abr 2020,São Paulo,Outras,5
143,2020-05,Mai 2020,Acre,B.1.1.33,2
144,2020-05,Mai 2020,Alagoas,B.1.1.28,1
145,2020-05,Mai 2020,Alagoas,B.1.1.33,3
146,2020-05,Mai 2020,Amapá,B.1.1.33,6
147,2020-05,Mai 2020,Amazonas,B.1.1,1
148,2020-05,Mai 2020,Amazonas,B.1.1.28,8
149,2020-05,Mai 2020,Amazonas,B.1.1.33,6
150,2020-05,Mai 2020,Amazonas,Outras,13
151,2020-05,Mai 2020,Bahia,B.1,1
152,2020-05,Mai 2020,Bahia,B.1.1,1
153,2020-05,Mai 2020,Bahia,B.1.1.28,9
154,2020-05,Mai 2020,Bahia,B.1.1.33,5
155,2020-05,Mai 2020,Ceará,B.1.1.33,2
156,2020-05,Mai 2020,Ceará,Outras,7
157,2020-05,Mai 2020,Espírito Santo,B.1.1.33,5
158,2020-05,Mai 2020,Goiás,B.1.1.33,1
159,2020-05,Mai 2020,Maranhão,B.1.1.33,4
160,2020-05,Mai 2020,Mato Grosso do Sul,B.1.1.28,3
161,2020-05,Mai 2020,Mato Grosso do Sul,B.1.1.33,3
162,2020-05,Mai 2020,Minas Gerais,B.1,1
163,2020-05,Mai 2020,Minas Gerais,B.1.1.28,4
164,2020-05,Mai 2020,Minas Gerais,B.1.1.33,3
165,2020-05,Mai 2020,Paraná,B.1.1.28,1
166,2020-05,Mai 2020,Paraná,B.1.1.33,12
