,date,state,place_type,confirmed
1928270,2021-07-26,PR,city,3394
1928695,2021-07-26,PR,city,3437
1929133,2021-07-26,PR,city,661
1929542,2021-07-26,PR,city,1326
1929930,2021-07-26,PR,city,215
1930312,2021-07-26,PR,city,868
1930716,2021-07-26,PR,city,688
1931141,2021-07-26,PR,city,1084
1931572,2021-07-26,PR,city,560
1932034,2021-07-26,PR,city,1951
1932463,2021-07-26,PR,city,604
1932854,2021-07-26,PR,city,786
1933261,2021-07-26,PR,city,16242
1933749,2021-07-26,PR,city,2482
1934228,2021-07-26,PR,city,884
1934711,2021-07-26,PR,city,1896
1935133,2021-07-26,PR,city,2546
1935548,2021-07-26,PR,city,1885
1935987,2021-07-26,PR,city,24142
1936460,2021-07-26,PR,city,741
1936884,2021-07-26,PR,city,1410
1937335,2021-07-26,PR,city,763
1937717,2021-07-26,PR,city,980
1938157,2021-07-26,PR,city,810
1938624,2021-07-26,PR,city,2471
1939030,2021-07-26,PR,city,1426
1939440,2021-07-26,PR,city,16672
1939931,2021-07-26,PR,city,109
1940315,2021-07-26,PR,city,7103
1940800,2021-07-26,PR,city,706
1941245,2021-07-26,PR,city,1077
1941627,2021-07-26,PR,city,1161
1942040,2021-07-26,PR,city,1137
1942521,2021-07-26,PR,city,301
1942934,2021-07-26,PR,city,1054
1943408,2021-07-26,PR,city,2114
1943847,2021-07-26,PR,city,494
1944230,2021-07-26,PR,city,368
1944656,2021-07-26,PE,state,586023
1945158,2021-07-26,PE,city,3258
1945619,2021-07-26,PE,city,5159
1946060,2021-07-26,PE,city,959
1946501,2021-07-26,PE,city,1728
1946947,2021-07-26,PE,city,1319
1947398,2021-07-26,PE,city,666
1947867,2021-07-26,PE,city,1313
1948318,2021-07-26,PE,city,633
1948772,2021-07-26,PE,city,225
1949186,2021-07-26,PE,city,7193
1949623,2021-07-26,PE,city,669
1950080,2021-07-26,PE,city,6382
1950542,2021-07-26,PE,city,438
1950972,2021-07-26,PE,city,792
1951411,2021-07-26,PE,city,4114
1951893,2021-07-26,PE,city,283
1952327,2021-07-26,PE,city,978
1952753,2021-07-26,PE,city,505
1953198,2021-07-26,PE,city,3847
1953655,2021-07-26,PE,city,2055
1954085,2021-07-26,PE,city,2246
1954545,2021-07-26,PE,city,1794
1955008,2021-07-26,PE,city,1022
1955460,2021-07-26,PE,city,763
1955875,2021-07-26,PE,city,2253
1956313,2021-07-26,PE,city,476
1956724,2021-07-26,PE,city,367
1957161,2021-07-26,PE,city,2483
1957598,2021-07-26,PE,city,9150
1958065,2021-07-26,PE,city,2367
1958510,2021-07-26,PE,city,630
1958974,2021-07-26,PE,city,1630
1959425,2021-07-26,PE,city,743
1959834,2021-07-26,PE,city,540
1960259,2021-07-26,PE,city,7334
1960733,2021-07-26,PE,city,574
1961180,2021-07-26,PE,city,859
1961612,2021-07-26,PE,city,598
1962042,2021-07-26,PE,city,1331
1962503,2021-07-26,PE,city,216
1962947,2021-07-26,PE,city,2498
1963403,2021-07-26,PE,city,4346
1963864,2021-07-26,PE,city,33288
1964342,2021-07-26,PE,city,400
1964769,2021-07-26,PE,city,1284
1965232,2021-07-26,PE,city,1842
1965676,2021-07-26,PE,city,488
1966134,2021-07-26,PE,city,478
1966590,2021-07-26,PE,city,1416
1967037,2021-07-26,PE,city,299
1967483,2021-07-26,PE,city,233
1967923,2021-07-26,PE,city,581
1968363,2021-07-26,PE,city,2462
1968817,2021-07-26,PE,city,941
1969268,2021-07-26,PE,city,1295
1969687,2021-07-26,PE,city,913
1970141,2021-07-26,PE,city,4346
1970544,2021-07-26,PE,city,1528
1970998,2021-07-26,PE,city,292
1971472,2021-07-26,PE,city,1017
1971922,2021-07-26,PE,city,1120
1972364,2021-07-26,PE,city,1903
1972800,2021-07-26,PE,city,1311
1973261,2021-07-26,PE,city,507
1973720,2021-07-26,PE,city,14154
1974181,2021-07-26,PE,city,1170
1974639,2021-07-26,PE,city,7386
1975113,2021-07-26,PE,city,434
1975557,2021-07-26,PE,city,5265
1976014,2021-07-26,PE,city,786
1976433,2021-07-26,PE,city,984
1976879,2021-07-26,PE,city,279
1977319,2021-07-26,PE,city,3992
1977782,2021-07-26,PE,city,838
1978226,2021-07-26,PE,city,1230
1978682,2021-07-26,PE,city,0
1979166,2021-07-26,PE,city,473
1979615,2021-07-26,PE,city,466
1980025,2021-07-26,PE,city,3395
1980485,2021-07-26,PE,city,1254
1980955,2021-07-26,PE,city,321
1981368,2021-07-26,PE,city,1543
1981817,2021-07-26,PE,city,1384
1982267,2021-07-26,PE,city,854
1982725,2021-07-26,PE,city,603
1983170,2021-07-26,PE,city,993
1983602,2021-07-26,PE,city,34341
1984084,2021-07-26,PE,city,339
1984527,2021-07-26,PE,city,1081
1984976,2021-07-26,PE,city,867
1985427,2021-07-26,PE,city,503
1985865,2021-07-26,PE,city,756
1986326,2021-07-26,PE,city,698
1986774,2021-07-26,PE,city,1192
1987225,2021-07-26,PE,city,548
1987671,2021-07-26,PE,city,1734
1988097,2021-07-26,PE,city,1170
1988550,2021-07-26,PE,city,1194
1989014,2021-07-26,PE,city,536
1989458,2021-07-26,PE,city,723
1989915,2021-07-26,PE,city,2479
1990359,2021-07-26,PE,city,3112
1990820,2021-07-26,PE,city,1268
1991283,2021-07-26,PE,city,689
1991741,2021-07-26,PE,city,441
1992133,2021-07-26,PE,city,330
1992567,2021-07-26,PE,city,900
1992950,2021-07-26,PE,city,733
1993368,2021-07-26,PE,city,1921
1993831,2021-07-26,PE,city,1113
1994279,2021-07-26,PE,city,22415
1994758,2021-07-26,PE,city,1251
1995202,2021-07-26,PE,city,714
1995650,2021-07-26,PE,city,3129
1996094,2021-07-26,PE,city,4043
1996565,2021-07-26,PE,city,230
1996989,2021-07-26,PE,city,1056
1997437,2021-07-26,PE,city,504
1997865,2021-07-26,PE,city,1275
1998285,2021-07-26,PE,city,1433
1998747,2021-07-26,PE,city,2785
1999211,2021-07-26,PE,city,10684
1999678,2021-07-26,PE,city,1171
2000129,2021-07-26,PE,city,4836
2000582,2021-07-26,PE,city,29423
2001060,2021-07-26,PE,city,1805
2001502,2021-07-26,PE,city,1858
2001963,2021-07-26,PE,city,602
2002414,2021-07-26,PE,city,314
2002857,2021-07-26,PE,city,723
2003316,2021-07-26,PE,city,518
2003763,2021-07-26,PE,city,144296
2004249,2021-07-26,PE,city,1253
2004672,2021-07-26,PE,city,486
2005127,2021-07-26,PE,city,1026
2005580,2021-07-26,PE,city,574
2006020,2021-07-26,PE,city,225
2006445,2021-07-26,PE,city,7736
2006908,2021-07-26,PE,city,681
2007338,2021-07-26,PE,city,1429
2007788,2021-07-26,PE,city,908
2008222,2021-07-26,PE,city,599
2008643,2021-07-26,PE,city,8672
2009102,2021-07-26,PE,city,533
2009513,2021-07-26,PE,city,1243
2009953,2021-07-26,PE,city,617
2010395,2021-07-26,PE,city,1009
2010809,2021-07-26,PE,city,10319
2011269,2021-07-26,PE,city,1208
2011698,2021-07-26,PE,city,3031
2012157,2021-07-26,PE,city,915
2012608,2021-07-26,PE,city,693
2013015,2021-07-26,PE,city,4568
2013469,2021-07-26,PE,city,367
2013900,2021-07-26,PE,city,2896
2014359,2021-07-26,PE,city,1863
2014819,2021-07-26,PE,city,887
2015263,2021-07-26,PE,city,1622
2015721,2021-07-26,PE,city,2485
2016163,2021-07-26,PE,city,2662
2016616,2021-07-26,PE,city,926
2017056,2021-07-26,PE,city,4262
2017529,2021-07-26,PE,city,1330
2017982,2021-07-26,PE,city,2959
2018431,2021-07-26,PE,city,515
2018850,2021-07-26,PE,city,793
2019267,2021-07-26,PE,city,658
2019714,2021-07-26,PE,city,766
2020155,2021-07-26,PE,city,537
2020584,2021-07-26,PE,city,990
2021028,2021-07-26,PE,city,3615
2021491,2021-07-26,PE,city,1541
2021950,2021-07-26,PE,city,247
2022409,2021-07-26,PE,city,1963
2022855,2021-07-26,PE,city,972
2023310,2021-07-26,PE,city,964
2023761,2021-07-26,PE,city,436
2024211,2021-07-26,PE,city,1431
2024655,2021-07-26,PE,city,524
2025074,2021-07-26,PE,city,609
2025503,2021-07-26,PE,city,1371
2025956,2021-07-26,PE,city,766
2026406,2021-07-26,PE,city,7141
2026869,2021-07-26,PE,city,520
2027316,2021-07-26,PE,city,1544
2027760,2021-07-26,PE,city,1919
2028199,2021-07-26,SP,state,4003549
