Linhagem,Frequencia,Porcentagem
BA.* (Omicron),906,41.4
BA.1.1 (Omicron),524,23.9
BA.1.14 (Omicron),305,13.9
BA.1.15 (Omicron),247,11.3
BA.2 (Omicron),104,4.8
BA.1 (Omicron),98,4.5
Outras,3,0.1
AY.*+B.1.617.2 (Delta),2,0.1
