Linhagem,Frequencia,Porcentagem
BA.1 (Omicron),2121,89.4
BA.1.1 (Omicron),166,7.0
AY.99.2 (Delta),54,2.3
AY.*+B.1.617.2 (Delta),25,1.1
AY.101 (Delta),7,0.3
