,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-08-31,AP,state,122427,Amapá,322,1.22427,263.0
1,2021-08-31,SE,state,277455,Sergipe,355,2.77455,127.9
2,2021-08-31,SC,state,1156369,Santa Catarina,839,11.56369,72.6
3,2021-08-31,TO,state,219158,Tocantins,174,2.19158,79.4
4,2021-08-31,RO,state,263211,Rondônia,34,2.63211,12.9
5,2021-08-31,RN,state,365177,Rio Grande do Norte,239,3.65177,65.4
6,2021-08-31,RS,state,1408873,Rio Grande do Sul,1967,14.08873,139.6
7,2021-08-31,RR,state,123990,Roraima,39,1.2399,31.5
8,2021-08-31,SP,state,4262684,São Paulo,13378,42.62684,313.8
9,2021-08-31,MS,state,368886,Mato Grosso do Sul,285,3.68886,77.3
10,2021-08-31,BA,state,1220792,Bahia,872,12.20792,71.4
11,2021-08-31,MA,state,349064,Maranhão,330,3.49064,94.5
12,2021-08-31,PA,state,584363,Pará,441,5.84363,75.5
13,2021-08-31,MT,state,520329,Mato Grosso,156,5.20329,30.0
14,2021-08-31,AM,state,424281,Amazonas,1748,4.24281,412.0
15,2021-08-31,AC,state,87823,Acre,131,0.87823,149.2
16,2021-08-31,DF,state,470471,Distrito Federal,88,4.70471,18.7
17,2021-08-31,AL,state,235774,Alagoas,559,2.35774,237.1
18,2021-08-31,ES,state,563031,Espírito Santo,456,5.63031,81.0
19,2021-08-31,CE,state,931561,Ceará,1254,9.31561,134.6
20,2021-08-31,GO,state,819494,Goiás,2346,8.19494,286.3
21,2021-08-31,PR,state,1457929,Paraná,1365,14.57929,93.6
22,2021-08-31,PB,state,433322,Paraíba,534,4.33322,123.2
23,2021-08-31,MG,state,2066338,Minas Gerais,790,20.66338,38.2
24,2021-08-31,RJ,state,1128166,Rio de Janeiro,5906,11.28166,523.5
25,2021-08-31,PE,state,607529,Pernambuco,1596,6.07529,262.7
26,2021-08-31,PI,state,316699,Piauí,27,3.16699,8.5
