,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-09-19,AC,state,87932,Acre,131,0.87932,149.0
1,2021-09-19,PI,state,318493,Piauí,30,3.18493,9.4
2,2021-09-19,PB,state,440067,Paraíba,573,4.40067,130.2
3,2021-09-19,PE,state,615672,Pernambuco,1596,6.15672,259.2
4,2021-09-19,MG,state,2112043,Minas Gerais,792,21.12043,37.5
5,2021-09-19,PA,state,588049,Pará,456,5.88049,77.5
6,2021-09-19,TO,state,222344,Tocantins,174,2.22344,78.3
7,2021-09-19,SC,state,1169031,Santa Catarina,959,11.69031,82.0
8,2021-09-19,SE,state,277856,Sergipe,388,2.77856,139.6
9,2021-09-19,RN,state,367721,Rio Grande do Norte,265,3.67721,72.1
10,2021-09-19,RJ,state,1268614,Rio de Janeiro,6122,12.68614,482.6
11,2021-09-19,RO,state,264823,Rondônia,34,2.64823,12.8
12,2021-09-19,RR,state,126097,Roraima,39,1.26097,30.9
13,2021-09-19,PR,state,1490543,Paraná,1430,14.90543,95.9
14,2021-09-19,AL,state,237663,Alagoas,562,2.37663,236.5
15,2021-09-19,DF,state,485590,Distrito Federal,88,4.8559,18.1
16,2021-09-19,AM,state,425994,Amazonas,1748,4.25994,410.3
17,2021-09-19,AP,state,122669,Amapá,343,1.22669,279.6
18,2021-09-19,MT,state,531303,Mato Grosso,158,5.31303,29.7
19,2021-09-19,MS,state,371855,Mato Grosso do Sul,287,3.71855,77.2
20,2021-09-19,BA,state,1229070,Bahia,875,12.2907,71.2
21,2021-09-19,MA,state,353700,Maranhão,331,3.537,93.6
22,2021-09-19,GO,state,845008,Goiás,2405,8.45008,284.6
23,2021-09-19,CE,state,935931,Ceará,1254,9.35931,134.0
24,2021-09-19,ES,state,576470,Espírito Santo,607,5.7647,105.3
25,2021-09-19,RS,state,1428678,Rio Grande do Sul,2023,14.28678,141.6
26,2021-09-19,SP,state,4350530,São Paulo,14564,43.5053,334.8
