,Date,Laboratório,Período,Quantidade,Acumulado
0,2020-02,FIOCRUZ,Fev 2020,3,3
1,2020-02,Outros,Fev 2020,5,5
2,2020-03,FIOCRUZ,Mar 2020,62,65
3,2020-03,Outros,Mar 2020,469,474
4,2020-04,FIOCRUZ,Abr 2020,265,330
5,2020-04,Outros,Abr 2020,839,1313
6,2020-05,FIOCRUZ,Mai 2020,140,470
7,2020-05,Outros,Mai 2020,274,1587
8,2020-06,FIOCRUZ,Jun 2020,146,616
9,2020-06,Outros,Jun 2020,276,1863
10,2020-07,FIOCRUZ,Jul 2020,122,738
11,2020-07,Outros,Jul 2020,286,2149
12,2020-08,FIOCRUZ,Ago 2020,159,897
13,2020-08,Outros,Ago 2020,208,2357
14,2020-09,FIOCRUZ,Set 2020,282,1179
15,2020-09,Outros,Set 2020,134,2491
16,2020-10,FIOCRUZ,Out 2020,195,1374
17,2020-10,Outros,Out 2020,234,2725
18,2020-11,FIOCRUZ,Nov 2020,271,1645
19,2020-11,Outros,Nov 2020,482,3207
20,2020-12,FIOCRUZ,Dez 2020,379,2024
21,2020-12,Outros,Dez 2020,608,3815
22,2021-01,FIOCRUZ,Jan 2021,692,2716
23,2021-01,Outros,Jan 2021,1127,4942
24,2021-02,FIOCRUZ,Fev 2021,1215,3931
25,2021-02,Outros,Fev 2021,1386,6328
26,2021-03,FIOCRUZ,Mar 2021,1052,4983
27,2021-03,Outros,Mar 2021,2872,9200
28,2021-04,FIOCRUZ,Abr 2021,1062,6045
29,2021-04,Outros,Abr 2021,3904,13104
30,2021-05,FIOCRUZ,Mai 2021,1563,7608
31,2021-05,Outros,Mai 2021,4827,17931
32,2021-06,FIOCRUZ,Jun 2021,2048,9656
33,2021-06,Outros,Jun 2021,3911,21842
34,2021-07,FIOCRUZ,Jul 2021,2237,11893
35,2021-07,Outros,Jul 2021,2943,24785
36,2021-08,FIOCRUZ,Ago 2021,1684,13577
37,2021-08,Outros,Ago 2021,5029,29814
38,2021-09,FIOCRUZ,Set 2021,492,14069
39,2021-09,Outros,Set 2021,2977,32791
