,Date,Período,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
459,2020-09,Set 2020,Centro-oeste,Distrito Federal,Outros,B.1.1,Não VOC/VOI,Não VOC/VOI,2
460,2020-09,Set 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
461,2020-09,Set 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
462,2020-09,Set 2020,Centro-oeste,Distrito Federal,Outros,P.2,P.2,Não VOC/VOI,2
463,2020-09,Set 2020,Centro-oeste,Goiás,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
464,2020-09,Set 2020,Centro-oeste,Goiás,Outros,B.1.1,Não VOC/VOI,Não VOC/VOI,1
465,2020-09,Set 2020,Centro-oeste,Goiás,Outros,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
466,2020-09,Set 2020,Centro-oeste,Goiás,Outros,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
467,2020-09,Set 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
468,2020-09,Set 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
469,2020-09,Set 2020,Nordeste,Bahia,FIOCRUZ,B.1.1,Não VOC/VOI,Não VOC/VOI,3
470,2020-09,Set 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.28,Não VOC/VOI,Não VOC/VOI,6
471,2020-09,Set 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,9
472,2020-09,Set 2020,Nordeste,Bahia,Outros,B.1.1.28,Não VOC/VOI,Não VOC/VOI,3
473,2020-09,Set 2020,Nordeste,Bahia,Outros,B.1.1.33,Não VOC/VOI,Não VOC/VOI,4
474,2020-09,Set 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
475,2020-09,Set 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,Não VOC/VOI,Não VOC/VOI,9
476,2020-09,Set 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
477,2020-09,Set 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,Não VOC/VOI,Não VOC/VOI,37
478,2020-09,Set 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.277,Não VOC/VOI,Não VOC/VOI,3
479,2020-09,Set 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,Não VOC/VOI,Não VOC/VOI,82
480,2020-09,Set 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,26
481,2020-09,Set 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.350,Não VOC/VOI,Não VOC/VOI,1
482,2020-09,Set 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.371,Não VOC/VOI,Não VOC/VOI,1
483,2020-09,Set 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.398,Não VOC/VOI,Não VOC/VOI,1
484,2020-09,Set 2020,Nordeste,Pernambuco,FIOCRUZ,P.1.12 (Gama),P.1.12 (Gama),VOC/VOI,1
485,2020-09,Set 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1,Não VOC/VOI,Não VOC/VOI,1
486,2020-09,Set 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1,Não VOC/VOI,Não VOC/VOI,4
487,2020-09,Set 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,4
488,2020-09,Set 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,N.1,Não VOC/VOI,Não VOC/VOI,1
489,2020-09,Set 2020,Norte,Amazonas,FIOCRUZ,B.1.1,Não VOC/VOI,Não VOC/VOI,2
490,2020-09,Set 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,Não VOC/VOI,Não VOC/VOI,9
491,2020-09,Set 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,7
492,2020-09,Set 2020,Norte,Amazonas,FIOCRUZ,B.1.1.378,Não VOC/VOI,Não VOC/VOI,3
493,2020-09,Set 2020,Norte,Amazonas,FIOCRUZ,B.1.195,Não VOC/VOI,Não VOC/VOI,1
494,2020-09,Set 2020,Norte,Tocantins,Outros,B.1.1,Não VOC/VOI,Não VOC/VOI,1
495,2020-09,Set 2020,Norte,Tocantins,Outros,B.1.1.28,Não VOC/VOI,Não VOC/VOI,4
496,2020-09,Set 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,14
497,2020-09,Set 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
498,2020-09,Set 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
499,2020-09,Set 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
500,2020-09,Set 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
501,2020-09,Set 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1,Não VOC/VOI,Não VOC/VOI,1
502,2020-09,Set 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.28,Não VOC/VOI,Não VOC/VOI,8
503,2020-09,Set 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,Não VOC/VOI,Não VOC/VOI,35
504,2020-09,Set 2020,Sudeste,Rio de Janeiro,Outros,B.1.1,Não VOC/VOI,Não VOC/VOI,2
