,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-09-30,AP,state,122836,Amapá,352,1.22836,286.6
1,2021-09-30,RS,state,1436962,Rio Grande do Sul,2156,14.36962,150.0
2,2021-09-30,SE,state,278104,Sergipe,411,2.78104,147.8
3,2021-09-30,PR,state,1511509,Paraná,2043,15.11509,135.2
4,2021-09-30,RN,state,368716,Rio Grande do Norte,285,3.68716,77.3
5,2021-09-30,RO,state,265879,Rondônia,47,2.65879,17.7
6,2021-09-30,RR,state,126220,Roraima,40,1.2622,31.7
7,2021-09-30,SC,state,1192421,Santa Catarina,1146,11.92421,96.1
8,2021-09-30,TO,state,224657,Tocantins,203,2.24657,90.4
9,2021-09-30,MA,state,356236,Maranhão,402,3.56236,112.8
10,2021-09-30,BA,state,1233799,Bahia,1134,12.33799,91.9
11,2021-09-30,MS,state,373084,Mato Grosso do Sul,384,3.73084,102.9
12,2021-09-30,MT,state,537141,Mato Grosso,247,5.37141,46.0
13,2021-09-30,AC,state,87924,Acre,133,0.87924,151.3
14,2021-09-30,AL,state,238210,Alagoas,573,2.3821,240.5
15,2021-09-30,DF,state,495249,Distrito Federal,330,4.95249,66.6
16,2021-09-30,AM,state,426476,Amazonas,2239,4.26476,525.0
17,2021-09-30,ES,state,586117,Espírito Santo,804,5.86117,137.2
18,2021-09-30,CE,state,940463,Ceará,1273,9.40463,135.4
19,2021-09-30,GO,state,864737,Goiás,2876,8.64737,332.6
20,2021-09-30,PI,state,319410,Piauí,142,3.1941,44.5
21,2021-09-30,PE,state,620723,Pernambuco,1935,6.20723,311.7
22,2021-09-30,RJ,state,1285731,Rio de Janeiro,6743,12.85731,524.4
23,2021-09-30,MG,state,2140378,Minas Gerais,880,21.40378,41.1
24,2021-09-30,PB,state,441674,Paraíba,701,4.41674,158.7
25,2021-09-30,PA,state,591574,Pará,605,5.91574,102.3
26,2021-09-30,SP,state,4366132,São Paulo,18780,43.66132,430.1
