,Data,Período,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
682,2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,P.2,Outras,Não VOC/VOI,4
683,2020-11-01,Nov 2020,Norte,Amapá,Outros,P.2,Outras,Não VOC/VOI,5
684,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,3
685,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,11
686,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,2
687,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.378,Outras,Não VOC/VOI,11
688,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,N.9,Outras,Não VOC/VOI,1
689,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,P.2,Outras,Não VOC/VOI,2
690,2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1,Outras,Não VOC/VOI,4
691,2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.28,Outras,Não VOC/VOI,7
692,2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.33,Outras,Não VOC/VOI,1
693,2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.378,Outras,Não VOC/VOI,6
694,2020-11-01,Nov 2020,Norte,Amazonas,Outros,P.2,Outras,Não VOC/VOI,1
695,2020-11-01,Nov 2020,Norte,Pará,Outros,B.1.1,Outras,Não VOC/VOI,3
696,2020-11-01,Nov 2020,Norte,Pará,Outros,B.1.1.28,Outras,Não VOC/VOI,2
697,2020-11-01,Nov 2020,Norte,Pará,Outros,B.1.564,Outras,Não VOC/VOI,1
698,2020-11-01,Nov 2020,Norte,Pará,Outros,P.2,Outras,Não VOC/VOI,11
699,2020-11-01,Nov 2020,Norte,Roraima,Outros,B.1.1.28,Outras,Não VOC/VOI,1
700,2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,1
701,2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,7
702,2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,P.2,Outras,Não VOC/VOI,2
703,2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,B.1.1.28,Outras,Não VOC/VOI,1
704,2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,Outras,Não VOC/VOI,2
705,2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,P.2,Outras,Não VOC/VOI,5
706,2020-11-01,Nov 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,1
707,2020-11-01,Nov 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,4
708,2020-11-01,Nov 2020,Sudeste,Minas Gerais,FIOCRUZ,P.2,Outras,Não VOC/VOI,3
709,2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,B.1.1,Outras,Não VOC/VOI,1
710,2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,Outras,Não VOC/VOI,5
711,2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,Outras,Não VOC/VOI,1
712,2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,N.1,Outras,Não VOC/VOI,1
713,2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,P.2,Outras,Não VOC/VOI,10
714,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,5
715,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,12
716,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,FIOCRUZ,P.2,Outras,Não VOC/VOI,14
717,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1,Outras,Não VOC/VOI,3
718,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,Outras,Não VOC/VOI,12
719,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,Outras,Não VOC/VOI,10
720,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.393,Outras,Não VOC/VOI,1
721,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,P.2,Outras,Não VOC/VOI,21
722,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1,Outras,Não VOC/VOI,1
723,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1,Outras,Não VOC/VOI,6
724,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1.28,Outras,Não VOC/VOI,38
725,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1.33,Outras,Não VOC/VOI,8
726,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1.332,Outras,Não VOC/VOI,2
727,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,N.9,Outras,Não VOC/VOI,15
728,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,P.2,Outras,Não VOC/VOI,26
729,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,P.7,Outras,Não VOC/VOI,2
730,2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,4
731,2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,1
732,2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,P.2,Outras,Não VOC/VOI,4
733,2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.1,Outras,Não VOC/VOI,2
734,2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.1.277,Outras,Não VOC/VOI,1
735,2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.1.28,Outras,Não VOC/VOI,17
736,2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.1.33,Outras,Não VOC/VOI,2
737,2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.362,Outras,Não VOC/VOI,1
738,2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.498,Outras,Não VOC/VOI,1
739,2020-11-01,Nov 2020,Sul,Paraná,Outros,N.9,Outras,Não VOC/VOI,1
740,2020-11-01,Nov 2020,Sul,Paraná,Outros,P.2,Outras,Não VOC/VOI,8
741,2020-11-01,Nov 2020,Sul,Rio Grande do Sul,FIOCRUZ,P.2,Outras,Não VOC/VOI,3
742,2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1,Outras,Não VOC/VOI,1
743,2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.1,Outras,Não VOC/VOI,2
744,2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.1.12,Outras,Não VOC/VOI,1
745,2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,Outras,Não VOC/VOI,51
746,2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,Outras,Não VOC/VOI,17
747,2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.1.70,Outras,Não VOC/VOI,1
748,2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.324,Outras,Não VOC/VOI,1
749,2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.91,Outras,Não VOC/VOI,6
750,2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,P.2,Outras,Não VOC/VOI,72
