,Linhagem,Frequencia,Porcentagem
0,AY.99.2 (Delta),1516,51.54709282556953
1,AY.*+B.1.617.2 (Delta),634,21.557293437606255
2,AY.34.1 (Delta),232,7.888473308398504
3,AY.43.1 (Delta),178,6.052363141788508
4,AY.101 (Delta),140,4.760285617137028
5,AY.43.2 (Delta),119,4.046242774566474
6,AY.46.3 (Delta),57,1.9381162869772186
7,AY.99.1 (Delta),53,1.8021081264875893
8,P.1 (Gama),4,0.13600816048962938
9,BA.1 (Omicron),4,0.13600816048962938
10,P.1.* (Gama),2,0.06800408024481469
11,Outras,2,0.06800408024481469
