,Linhagem,Frequencia,Porcentagem
0,AY.99.2 (Delta),815,42.359667359667355
1,AY.*+B.1.617.2 (Delta),443,23.024948024948024
2,AY.34.1 (Delta),218,11.33056133056133
3,AY.43.1 (Delta),162,8.419958419958421
4,AY.43.2 (Delta),110,5.717255717255718
5,AY.101 (Delta),89,4.625779625779626
6,AY.46.3 (Delta),50,2.598752598752599
7,AY.99.1 (Delta),28,1.4553014553014554
8,B.1.1.529 (Omicron),3,0.15592515592515593
9,Outras,2,0.10395010395010396
10,P.1 (Gama),2,0.10395010395010396
11,P.1.* (Gama),2,0.10395010395010396
