,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-10-15,AP,state,123226,Amapá,352,1.23226,285.7
1,2021-10-15,RS,state,1451864,Rio Grande do Sul,2154,14.51864,148.4
2,2021-10-15,RN,state,370791,Rio Grande do Norte,285,3.70791,76.9
3,2021-10-15,RO,state,267379,Rondônia,47,2.67379,17.6
4,2021-10-15,RR,state,126305,Roraima,238,1.26305,188.4
5,2021-10-15,PR,state,1533803,Paraná,2045,15.33803,133.3
6,2021-10-15,TO,state,226727,Tocantins,203,2.26727,89.5
7,2021-10-15,SE,state,278290,Sergipe,411,2.7829,147.7
8,2021-10-15,SC,state,1204332,Santa Catarina,1146,12.04332,95.2
9,2021-10-15,PA,state,595130,Pará,605,5.9513,101.7
10,2021-10-15,AC,state,88001,Acre,133,0.88001,151.1
11,2021-10-15,AM,state,427103,Amazonas,2239,4.27103,524.2
12,2021-10-15,DF,state,509543,Distrito Federal,330,5.09543,64.8
13,2021-10-15,AL,state,239166,Alagoas,642,2.39166,268.4
14,2021-10-15,CE,state,941903,Ceará,1273,9.41903,135.2
15,2021-10-15,MT,state,542767,Mato Grosso,247,5.42767,45.5
16,2021-10-15,GO,state,885531,Goiás,2937,8.85531,331.7
17,2021-10-15,MA,state,358548,Maranhão,402,3.58548,112.1
18,2021-10-15,MS,state,375110,Mato Grosso do Sul,384,3.7511,102.4
19,2021-10-15,BA,state,1239293,Bahia,1195,12.39293,96.4
20,2021-10-15,ES,state,597434,Espírito Santo,804,5.97434,134.6
21,2021-10-15,PI,state,322742,Piauí,142,3.22742,44.0
22,2021-10-15,PB,state,443505,Paraíba,701,4.43505,158.1
23,2021-10-15,PE,state,625561,Pernambuco,2123,6.25561,339.4
24,2021-10-15,RJ,state,1305919,Rio de Janeiro,6777,13.05919,518.9
25,2021-10-15,MG,state,2164781,Minas Gerais,947,21.64781,43.7
26,2021-10-15,SP,state,4388031,São Paulo,19104,43.88031,435.4
