,Date,Laboratório,Período,Quantidade,Acumulado
0,2020-02-01,FIOCRUZ,Fev 2020,3,3
1,2020-02-01,Outros,Fev 2020,5,5
2,2020-03-01,FIOCRUZ,Mar 2020,62,65
3,2020-03-01,Outros,Mar 2020,471,476
4,2020-04-01,FIOCRUZ,Abr 2020,265,330
5,2020-04-01,Outros,Abr 2020,840,1316
6,2020-05-01,FIOCRUZ,Mai 2020,140,470
7,2020-05-01,Outros,Mai 2020,274,1590
8,2020-06-01,FIOCRUZ,Jun 2020,146,616
9,2020-06-01,Outros,Jun 2020,276,1866
10,2020-07-01,FIOCRUZ,Jul 2020,122,738
11,2020-07-01,Outros,Jul 2020,286,2152
12,2020-08-01,FIOCRUZ,Ago 2020,159,897
13,2020-08-01,Outros,Ago 2020,208,2360
14,2020-09-01,FIOCRUZ,Set 2020,282,1179
15,2020-09-01,Outros,Set 2020,134,2494
16,2020-10-01,FIOCRUZ,Out 2020,195,1374
17,2020-10-01,Outros,Out 2020,234,2728
18,2020-11-01,FIOCRUZ,Nov 2020,271,1645
19,2020-11-01,Outros,Nov 2020,482,3210
20,2020-12-01,FIOCRUZ,Dez 2020,379,2024
21,2020-12-01,Outros,Dez 2020,632,3842
22,2021-01-01,FIOCRUZ,Jan 2021,692,2716
23,2021-01-01,Outros,Jan 2021,1146,4988
24,2021-02-01,FIOCRUZ,Fev 2021,1215,3931
25,2021-02-01,Outros,Fev 2021,1393,6381
26,2021-03-01,FIOCRUZ,Mar 2021,1052,4983
27,2021-03-01,Outros,Mar 2021,2877,9258
28,2021-04-01,FIOCRUZ,Abr 2021,1064,6047
29,2021-04-01,Outros,Abr 2021,3927,13185
30,2021-05-01,FIOCRUZ,Mai 2021,1613,7660
31,2021-05-01,Outros,Mai 2021,4831,18016
32,2021-06-01,FIOCRUZ,Jun 2021,2114,9774
33,2021-06-01,Outros,Jun 2021,3911,21927
34,2021-07-01,FIOCRUZ,Jul 2021,2322,12096
35,2021-07-01,Outros,Jul 2021,2946,24873
36,2021-08-01,FIOCRUZ,Ago 2021,1806,13902
37,2021-08-01,Outros,Ago 2021,5031,29904
38,2021-09-01,FIOCRUZ,Set 2021,727,14629
39,2021-09-01,Outros,Set 2021,3312,33216
40,2021-10-01,Outros,Out 2021,44,33260
41,2021-10-01,FIOCRUZ,Out 2021,0,14629
