,Data,Período,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
713,2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,P.2,Outras,Não VOC/VOI,4
714,2020-11-01,Nov 2020,Norte,Amapá,Outros,P.2,Outras,Não VOC/VOI,5
715,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,3
716,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,11
717,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,2
718,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.378,Outras,Não VOC/VOI,11
719,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,N.9,Outras,Não VOC/VOI,1
720,2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,P.2,Outras,Não VOC/VOI,2
721,2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1,Outras,Não VOC/VOI,3
722,2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.28,Outras,Não VOC/VOI,7
723,2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.33,Outras,Não VOC/VOI,1
724,2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.378,Outras,Não VOC/VOI,6
725,2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.39,Outras,Não VOC/VOI,1
726,2020-11-01,Nov 2020,Norte,Amazonas,Outros,P.2,Outras,Não VOC/VOI,1
727,2020-11-01,Nov 2020,Norte,Pará,Outros,B.1,Outras,Não VOC/VOI,1
728,2020-11-01,Nov 2020,Norte,Pará,Outros,B.1.1,Outras,Não VOC/VOI,3
729,2020-11-01,Nov 2020,Norte,Pará,Outros,B.1.1.28,Outras,Não VOC/VOI,2
730,2020-11-01,Nov 2020,Norte,Pará,Outros,P.2,Outras,Não VOC/VOI,11
731,2020-11-01,Nov 2020,Norte,Roraima,Outros,B.1.1.28,Outras,Não VOC/VOI,1
732,2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,1
733,2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,7
734,2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,P.2,Outras,Não VOC/VOI,2
735,2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,B.1.1.28,Outras,Não VOC/VOI,1
736,2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,Outras,Não VOC/VOI,2
737,2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,P.2,Outras,Não VOC/VOI,5
738,2020-11-01,Nov 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,1
739,2020-11-01,Nov 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,4
740,2020-11-01,Nov 2020,Sudeste,Minas Gerais,FIOCRUZ,P.2,Outras,Não VOC/VOI,3
741,2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,B.1.1,Outras,Não VOC/VOI,1
742,2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,Outras,Não VOC/VOI,5
743,2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,Outras,Não VOC/VOI,2
744,2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,P.2,Outras,Não VOC/VOI,10
745,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,7
746,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,12
747,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,FIOCRUZ,P.2,Outras,Não VOC/VOI,21
748,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1,Outras,Não VOC/VOI,3
749,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,Outras,Não VOC/VOI,12
750,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,Outras,Não VOC/VOI,10
751,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.393,Outras,Não VOC/VOI,1
752,2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,P.2,Outras,Não VOC/VOI,21
753,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1,Outras,Não VOC/VOI,1
754,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1,Outras,Não VOC/VOI,6
755,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1.28,Outras,Não VOC/VOI,39
756,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1.33,Outras,Não VOC/VOI,8
757,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1.332,Outras,Não VOC/VOI,2
758,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,N.9,Outras,Não VOC/VOI,15
759,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,P.2,Outras,Não VOC/VOI,26
760,2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,P.7,Outras,Não VOC/VOI,2
761,2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,2
762,2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,19
763,2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,6
764,2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,B.1.177.52,Outras,Não VOC/VOI,1
