,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-12-08,AP,state,125161,Amapá,517,1.25161,413.1
1,2021-12-08,RS,state,1497261,Rio Grande do Sul,2666,14.97261,178.1
2,2021-12-08,SC,state,1236468,Santa Catarina,2079,12.36468,168.1
3,2021-12-08,SE,state,278341,Sergipe,469,2.78341,168.5
4,2021-12-08,RR,state,128717,Roraima,256,1.28717,198.9
5,2021-12-08,PR,state,1585165,Paraná,3376,15.85165,213.0
6,2021-12-08,RN,state,384052,Rio Grande do Norte,736,3.84052,191.6
7,2021-12-08,RJ,state,1348861,Rio de Janeiro,11075,13.48861,821.1
8,2021-12-08,RO,state,280199,Rondônia,196,2.80199,70.0
9,2021-12-08,MG,state,2213035,Minas Gerais,1839,22.13035,83.1
10,2021-12-08,PI,state,333318,Piauí,198,3.33318,59.4
11,2021-12-08,PB,state,462240,Paraíba,1439,4.6224,311.3
12,2021-12-08,TO,state,234113,Tocantins,391,2.34113,167.0
13,2021-12-08,PE,state,642496,Pernambuco,2765,6.42496,430.4
14,2021-12-08,MT,state,554116,Mato Grosso,306,5.54116,55.2
15,2021-12-08,MS,state,379448,Mato Grosso do Sul,503,3.79448,132.6
16,2021-12-08,BA,state,1264224,Bahia,1997,12.64224,158.0
17,2021-12-08,GO,state,942523,Goiás,3419,9.42523,362.7
18,2021-12-08,MA,state,366751,Maranhão,610,3.66751,166.3
19,2021-12-08,CE,state,952669,Ceará,2463,9.52669,258.5
20,2021-12-08,ES,state,623729,Espírito Santo,1226,6.23729,196.6
21,2021-12-08,AL,state,241764,Alagoas,1654,2.41764,684.1
22,2021-12-08,DF,state,518258,Distrito Federal,745,5.18258,143.8
23,2021-12-08,AM,state,430992,Amazonas,3388,4.30992,786.1
24,2021-12-08,AC,state,88254,Acre,230,0.88254,260.6
25,2021-12-08,PA,state,613978,Pará,1011,6.13978,164.7
26,2021-12-08,SP,state,4447229,São Paulo,45247,44.47229,1017.4
