,Linhagem,Frequencia,Porcentagem
0,AY.99.2 (Delta),292,37.77490297542044
1,AY.*+B.1.617.2 (Delta),263,34.02328589909443
2,AY.43.2 (Delta),80,10.34928848641656
3,BA.1 (Omicron),43,5.5627425614489
4,AY.43.1 (Delta),40,5.17464424320828
5,AY.101 (Delta),26,3.363518758085381
6,AY.34.1 (Delta),10,1.29366106080207
7,AY.99.1 (Delta),9,1.1642949547218628
8,AY.46.3 (Delta),8,1.034928848641656
9,P.1 (Gama),2,0.258732212160414
