,Data,Período,Região,Estado,Laboratório,Linhagens relevantes,Quantidade
65,2020-03-01,Mar 2020,Sul,Rio Grande do Sul,FIOCRUZ,Outras,2
66,2020-03-01,Mar 2020,Sul,Rio Grande do Sul,Outros,B.1.1,5
67,2020-03-01,Mar 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,5
68,2020-03-01,Mar 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,4
69,2020-03-01,Mar 2020,Sul,Rio Grande do Sul,Outros,Outras,9
70,2020-03-01,Mar 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.33,1
71,2020-03-01,Mar 2020,Sul,Santa Catarina,FIOCRUZ,Outras,3
72,2020-03-01,Mar 2020,Sul,Santa Catarina,Outros,B.1.1,2
73,2020-03-01,Mar 2020,Sul,Santa Catarina,Outros,B.1.1.28,3
74,2020-03-01,Mar 2020,Sul,Santa Catarina,Outros,B.1.1.33,4
75,2020-03-01,Mar 2020,Sul,Santa Catarina,Outros,Outras,3
76,2020-04-01,Abr 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.28,1
77,2020-04-01,Abr 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.33,1
78,2020-04-01,Abr 2020,Centro-oeste,Goiás,Outros,B.1.1.33,4
79,2020-04-01,Abr 2020,Centro-oeste,Goiás,Outros,Outras,3
80,2020-04-01,Abr 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.28,1
81,2020-04-01,Abr 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.33,2
82,2020-04-01,Abr 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,1
83,2020-04-01,Abr 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,4
84,2020-04-01,Abr 2020,Centro-oeste,Mato Grosso do Sul,Outros,Outras,2
85,2020-04-01,Abr 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.28,2
86,2020-04-01,Abr 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.33,1
87,2020-04-01,Abr 2020,Nordeste,Bahia,Outros,B.1.1,2
88,2020-04-01,Abr 2020,Nordeste,Bahia,Outros,B.1.1.28,8
89,2020-04-01,Abr 2020,Nordeste,Bahia,Outros,B.1.1.33,31
90,2020-04-01,Abr 2020,Nordeste,Bahia,Outros,Outras,5
91,2020-04-01,Abr 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,8
92,2020-04-01,Abr 2020,Nordeste,Ceará,Outros,B.1.1,1
93,2020-04-01,Abr 2020,Nordeste,Ceará,Outros,B.1.1.33,1
94,2020-04-01,Abr 2020,Nordeste,Ceará,Outros,Outras,3
95,2020-04-01,Abr 2020,Nordeste,Maranhão,Outros,B.1.1.33,17
96,2020-04-01,Abr 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,17
97,2020-04-01,Abr 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,7
98,2020-04-01,Abr 2020,Nordeste,Paraíba,Outros,B.1.1,2
99,2020-04-01,Abr 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,54
100,2020-04-01,Abr 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,3
101,2020-04-01,Abr 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.33,1
102,2020-04-01,Abr 2020,Nordeste,Pernambuco,FIOCRUZ,Outras,3
103,2020-04-01,Abr 2020,Nordeste,Pernambuco,Outros,B.1.1,8
104,2020-04-01,Abr 2020,Nordeste,Pernambuco,Outros,B.1.1.28,2
105,2020-04-01,Abr 2020,Nordeste,Pernambuco,Outros,B.1.1.33,1
106,2020-04-01,Abr 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1,1
107,2020-04-01,Abr 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.33,1
108,2020-04-01,Abr 2020,Nordeste,Rio Grande do Norte,Outros,Outras,6
109,2020-04-01,Abr 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1,3
110,2020-04-01,Abr 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1.28,1
111,2020-04-01,Abr 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1.33,6
112,2020-04-01,Abr 2020,Nordeste,Sergipe,FIOCRUZ,Outras,12
113,2020-04-01,Abr 2020,Norte,Amapá,Outros,B.1.1.33,10
114,2020-04-01,Abr 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,2
115,2020-04-01,Abr 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,1
116,2020-04-01,Abr 2020,Norte,Amazonas,FIOCRUZ,Outras,31
117,2020-04-01,Abr 2020,Norte,Amazonas,Outros,B.1.1.33,2
118,2020-04-01,Abr 2020,Norte,Amazonas,Outros,Outras,3
119,2020-04-01,Abr 2020,Norte,Pará,Outros,B.1.1.28,29
120,2020-04-01,Abr 2020,Norte,Pará,Outros,B.1.1.33,6
121,2020-04-01,Abr 2020,Norte,Pará,Outros,Outras,2
122,2020-04-01,Abr 2020,Norte,Roraima,Outros,B.1.1.33,1
123,2020-04-01,Abr 2020,Norte,Roraima,Outros,Outras,1
124,2020-04-01,Abr 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,2
125,2020-04-01,Abr 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,5
126,2020-04-01,Abr 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,20
