,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-08-20,AP,state,122327,Amapá,307,1.22327,251.0
1,2021-08-20,SP,state,4202577,São Paulo,10994,42.02577,261.6
2,2021-08-20,SE,state,277045,Sergipe,327,2.77045,118.0
3,2021-08-20,RS,state,1398352,Rio Grande do Sul,1759,13.98352,125.8
4,2021-08-20,RN,state,363959,Rio Grande do Norte,257,3.63959,70.6
5,2021-08-20,RO,state,261794,Rondônia,34,2.61794,13.0
6,2021-08-20,RR,state,122831,Roraima,59,1.22831,48.0
7,2021-08-20,SC,state,1142067,Santa Catarina,707,11.42067,61.9
8,2021-08-20,TO,state,216392,Tocantins,130,2.16392,60.1
9,2021-08-20,PB,state,429861,Paraíba,332,4.29861,77.2
10,2021-08-20,MG,state,2038307,Minas Gerais,646,20.38307,31.7
11,2021-08-20,RJ,state,1102305,Rio de Janeiro,4880,11.02305,442.7
12,2021-08-20,PE,state,603057,Pernambuco,1020,6.03057,169.1
13,2021-08-20,MT,state,511230,Mato Grosso,143,5.1123,28.0
14,2021-08-20,BA,state,1213318,Bahia,771,12.13318,63.5
15,2021-08-20,MA,state,345629,Maranhão,346,3.45629,100.1
16,2021-08-20,MS,state,365578,Mato Grosso do Sul,188,3.65578,51.4
17,2021-08-20,GO,state,796457,Goiás,1833,7.96457,230.1
18,2021-08-20,ES,state,555703,Espírito Santo,350,5.55703,63.0
19,2021-08-20,CE,state,928564,Ceará,799,9.28564,86.0
20,2021-08-20,AL,state,233743,Alagoas,468,2.33743,200.2
21,2021-08-20,DF,state,462687,Distrito Federal,38,4.62687,8.2
22,2021-08-20,AM,state,422695,Amazonas,1676,4.22695,396.5
23,2021-08-20,AC,state,87671,Acre,131,0.87671,149.4
24,2021-08-20,PA,state,580586,Pará,494,5.80586,85.1
25,2021-08-20,PI,state,314679,Piauí,19,3.14679,6.0
26,2021-08-20,PR,state,1436627,Paraná,947,14.36627,65.9
