,Date,Período,Estado,Linhagem,Linhagens relevantes,Frequência
91,2020-03,Mar 2020,Sergipe,B.59,Outras,1
92,2020-03,Mar 2020,São Paulo,B.1,Outras,24
93,2020-03,Mar 2020,São Paulo,B.1.1,B.1.1,16
94,2020-03,Mar 2020,São Paulo,B.1.1.28,B.1.1.28,132
95,2020-03,Mar 2020,São Paulo,B.1.1.33,B.1.1.33,59
96,2020-03,Mar 2020,São Paulo,B.1.1.398,Outras,1
97,2020-03,Mar 2020,São Paulo,B.1.195,Outras,2
98,2020-03,Mar 2020,São Paulo,B.1.212,Outras,1
99,2020-03,Mar 2020,São Paulo,B.1.333,Outras,1
100,2020-03,Mar 2020,São Paulo,B.1.446,Outras,3
101,2020-03,Mar 2020,São Paulo,B.1.540,Outras,3
102,2020-03,Mar 2020,São Paulo,B.1.605,Outras,3
103,2020-03,Mar 2020,São Paulo,B.23,Outras,1
104,2020-03,Mar 2020,São Paulo,B.3,Outras,1
105,2020-03,Mar 2020,São Paulo,B.40,Outras,1
106,2020-03,Mar 2020,São Paulo,B.6.6,Outras,1
107,2020-04,Abr 2020,Alagoas,B.1.1.28,B.1.1.28,1
108,2020-04,Abr 2020,Alagoas,B.1.1.33,B.1.1.33,1
109,2020-04,Abr 2020,Amapá,B.1.1.33,B.1.1.33,10
110,2020-04,Abr 2020,Amazonas,B.1.1.28,B.1.1.28,2
111,2020-04,Abr 2020,Amazonas,B.1.1.33,B.1.1.33,3
112,2020-04,Abr 2020,Amazonas,B.1.111,Outras,1
113,2020-04,Abr 2020,Amazonas,B.1.195,Outras,31
114,2020-04,Abr 2020,Amazonas,B.1.319,Outras,1
115,2020-04,Abr 2020,Bahia,B.1,Outras,4
116,2020-04,Abr 2020,Bahia,B.1.1,B.1.1,1
117,2020-04,Abr 2020,Bahia,B.1.1.28,B.1.1.28,9
118,2020-04,Abr 2020,Bahia,B.1.1.33,B.1.1.33,31
119,2020-04,Abr 2020,Bahia,B.1.177,Outras,1
120,2020-04,Abr 2020,Ceará,B.1,Outras,1
121,2020-04,Abr 2020,Ceará,B.1.1.28,B.1.1.28,1
122,2020-04,Abr 2020,Ceará,B.1.1.33,B.1.1.33,9
123,2020-04,Abr 2020,Ceará,B.1.212,Outras,2
124,2020-04,Abr 2020,Distrito Federal,B.1.1.33,B.1.1.33,1
125,2020-04,Abr 2020,Espírito Santo,B.1.1.33,B.1.1.33,2
126,2020-04,Abr 2020,Goiás,B.1,Outras,3
127,2020-04,Abr 2020,Goiás,B.1.1.33,B.1.1.33,4
128,2020-04,Abr 2020,Maranhão,B.1.1.33,B.1.1.33,17
129,2020-04,Abr 2020,Mato Grosso,B.1.1.28,B.1.1.28,1
130,2020-04,Abr 2020,Mato Grosso,B.1.1.33,B.1.1.33,2
131,2020-04,Abr 2020,Mato Grosso do Sul,B.1.1.28,B.1.1.28,1
132,2020-04,Abr 2020,Mato Grosso do Sul,B.1.1.33,B.1.1.33,4
133,2020-04,Abr 2020,Mato Grosso do Sul,B.1.212,Outras,1
134,2020-04,Abr 2020,Mato Grosso do Sul,B.1.540,Outras,1
135,2020-04,Abr 2020,Minas Gerais,B.1,Outras,5
136,2020-04,Abr 2020,Minas Gerais,B.1.1.28,B.1.1.28,5
137,2020-04,Abr 2020,Minas Gerais,B.1.1.33,B.1.1.33,20
138,2020-04,Abr 2020,Minas Gerais,B.1.258,Outras,1
139,2020-04,Abr 2020,Paraná,B.1.1.1,Outras,2
140,2020-04,Abr 2020,Paraná,B.1.1.28,B.1.1.28,14
141,2020-04,Abr 2020,Paraná,B.1.1.33,B.1.1.33,5
142,2020-04,Abr 2020,Paraná,B.1.1.398,Outras,1
143,2020-04,Abr 2020,Paraíba,B.1.1,B.1.1,18
144,2020-04,Abr 2020,Paraíba,B.1.1.33,B.1.1.33,7
145,2020-04,Abr 2020,Paraíba,B.1.1.398,Outras,1
146,2020-04,Abr 2020,Pará,B.1.1.1,Outras,1
147,2020-04,Abr 2020,Pará,B.1.1.28,B.1.1.28,29
148,2020-04,Abr 2020,Pará,B.1.1.33,B.1.1.33,6
149,2020-04,Abr 2020,Pará,B.39,Outras,1
150,2020-04,Abr 2020,Pernambuco,B,Outras,1
151,2020-04,Abr 2020,Pernambuco,B.1.1,B.1.1,45
152,2020-04,Abr 2020,Pernambuco,B.1.1.117,Outras,1
153,2020-04,Abr 2020,Pernambuco,B.1.1.236,Outras,12
154,2020-04,Abr 2020,Pernambuco,B.1.1.28,B.1.1.28,5
155,2020-04,Abr 2020,Pernambuco,B.1.1.33,B.1.1.33,2
156,2020-04,Abr 2020,Pernambuco,B.1.1.398,Outras,4
157,2020-04,Abr 2020,Pernambuco,B.1.1.446,Outras,1
158,2020-04,Abr 2020,Pernambuco,B.1.212,Outras,1
159,2020-04,Abr 2020,Rio Grande do Norte,B.1.1,B.1.1,1
160,2020-04,Abr 2020,Rio Grande do Norte,B.1.1.33,B.1.1.33,2
161,2020-04,Abr 2020,Rio Grande do Norte,B.1.195,Outras,5
