,Date,Período,Estado,Linhagem,Frequência
94,2020-04,Abr 2020,Pará,B.1.1.28,29
95,2020-04,Abr 2020,Pará,B.1.1.33,6
96,2020-04,Abr 2020,Pará,Outras,2
97,2020-04,Abr 2020,Pernambuco,B.1.1,46
98,2020-04,Abr 2020,Pernambuco,B.1.1.28,5
99,2020-04,Abr 2020,Pernambuco,B.1.1.33,2
100,2020-04,Abr 2020,Pernambuco,Outras,20
101,2020-04,Abr 2020,Rio Grande do Norte,B.1.1,1
102,2020-04,Abr 2020,Rio Grande do Norte,B.1.1.33,1
103,2020-04,Abr 2020,Rio Grande do Norte,Outras,6
104,2020-04,Abr 2020,Rio Grande do Sul,B.1.1,2
105,2020-04,Abr 2020,Rio Grande do Sul,B.1.1.28,1
106,2020-04,Abr 2020,Rio Grande do Sul,B.1.1.33,21
107,2020-04,Abr 2020,Rio Grande do Sul,Outras,2
108,2020-04,Abr 2020,Rio de Janeiro,B.1.1.28,16
109,2020-04,Abr 2020,Rio de Janeiro,B.1.1.33,224
110,2020-04,Abr 2020,Rio de Janeiro,Outras,11
111,2020-04,Abr 2020,Roraima,B.1.1.33,1
112,2020-04,Abr 2020,Roraima,Outras,1
113,2020-04,Abr 2020,Santa Catarina,B.1.1.28,1
114,2020-04,Abr 2020,Santa Catarina,B.1.1.33,2
115,2020-04,Abr 2020,Sergipe,B.1.1,3
116,2020-04,Abr 2020,Sergipe,B.1.1.28,1
117,2020-04,Abr 2020,Sergipe,B.1.1.33,6
118,2020-04,Abr 2020,Sergipe,Outras,12
119,2020-04,Abr 2020,São Paulo,B.1.1,16
120,2020-04,Abr 2020,São Paulo,B.1.1.28,313
121,2020-04,Abr 2020,São Paulo,B.1.1.33,87
122,2020-04,Abr 2020,São Paulo,Outras,25
123,2020-05,Mai 2020,Acre,B.1.1.33,2
124,2020-05,Mai 2020,Alagoas,B.1.1.28,1
125,2020-05,Mai 2020,Alagoas,B.1.1.33,3
126,2020-05,Mai 2020,Amapá,B.1.1.33,6
127,2020-05,Mai 2020,Amazonas,B.1.1.28,9
128,2020-05,Mai 2020,Amazonas,B.1.1.33,6
129,2020-05,Mai 2020,Amazonas,Outras,13
130,2020-05,Mai 2020,Bahia,B.1.1,1
131,2020-05,Mai 2020,Bahia,B.1.1.28,9
132,2020-05,Mai 2020,Bahia,B.1.1.33,5
133,2020-05,Mai 2020,Bahia,Outras,1
134,2020-05,Mai 2020,Ceará,B.1.1.33,2
135,2020-05,Mai 2020,Ceará,Outras,7
136,2020-05,Mai 2020,Espírito Santo,B.1.1.33,5
137,2020-05,Mai 2020,Goiás,B.1.1.33,1
138,2020-05,Mai 2020,Maranhão,B.1.1.33,4
139,2020-05,Mai 2020,Mato Grosso do Sul,B.1.1.28,3
140,2020-05,Mai 2020,Mato Grosso do Sul,B.1.1.33,3
141,2020-05,Mai 2020,Minas Gerais,B.1.1.28,4
142,2020-05,Mai 2020,Minas Gerais,B.1.1.33,3
143,2020-05,Mai 2020,Minas Gerais,Outras,1
144,2020-05,Mai 2020,Paraná,B.1.1.28,2
145,2020-05,Mai 2020,Paraná,B.1.1.33,12
146,2020-05,Mai 2020,Paraná,Outras,2
147,2020-05,Mai 2020,Paraíba,B.1.1,3
148,2020-05,Mai 2020,Paraíba,B.1.1.33,2
149,2020-05,Mai 2020,Pará,B.1.1.28,6
150,2020-05,Mai 2020,Pará,B.1.1.33,2
151,2020-05,Mai 2020,Pará,Outras,1
152,2020-05,Mai 2020,Pernambuco,B.1.1,22
153,2020-05,Mai 2020,Pernambuco,B.1.1.28,2
154,2020-05,Mai 2020,Pernambuco,B.1.1.33,4
155,2020-05,Mai 2020,Pernambuco,Outras,11
156,2020-05,Mai 2020,Rio Grande do Sul,B.1.1,6
157,2020-05,Mai 2020,Rio Grande do Sul,B.1.1.28,5
