,Estado,Genomas sequenciados
0,Acre,133
1,Alagoas,367
2,Amapá,187
3,Amazonas,1689
4,Bahia,748
5,Ceará,544
6,Distrito Federal,39
7,Espírito Santo,257
8,Goiás,1572
9,Maranhão,323
10,Mato Grosso,92
11,Mato Grosso do Sul,141
12,Minas Gerais,558
13,Paraná,951
14,Paraíba,291
15,Pará,392
16,Pernambuco,827
17,Piauí,19
18,Rio Grande do Norte,217
19,Rio Grande do Sul,1521
20,Rio de Janeiro,4902
21,Rondônia,34
22,Roraima,39
23,Santa Catarina,628
24,Sergipe,327
25,São Paulo,10678
26,Tocantins,129
