,Date,Período,País,Linhagem,Quantidade
0,2020-03,Mar 2020,Bahamas,B.1.378,2
1,2020-03,Mar 2020,Bolívia,A.5,1
2,2020-03,Mar 2020,Bolívia,B.1.1,1
3,2020-03,Mar 2020,Haiti,B.1.220,1
4,2020-04,Abr 2020,Bahamas,B.1,2
5,2020-04,Abr 2020,Bolívia,B.1.600,4
6,2020-04,Abr 2020,Haiti,B.1,1
15,2020-05,Mai 2020,Paraguai,B.1.1.28,1
14,2020-05,Mai 2020,Haiti,B.1.574,1
13,2020-05,Mai 2020,Haiti,B.1.478,3
12,2020-05,Mai 2020,Haiti,B.1.119,1
10,2020-05,Mai 2020,Guatemala,B.1,4
9,2020-05,Mai 2020,Bolívia,B.1.600,8
8,2020-05,Mai 2020,Bolívia,B.1.1,3
7,2020-05,Mai 2020,Bolívia,B.1,1
11,2020-05,Mai 2020,Haiti,B.1,8
16,2020-06,Jun 2020,Guatemala,B.1,2
17,2020-06,Jun 2020,Paraguai,B.1,3
18,2020-06,Jun 2020,Paraguai,B.1.1.28,1
24,2020-07,Jul 2020,Paraguai,B.1,1
26,2020-07,Jul 2020,Paraguai,B.1.600,1
23,2020-07,Jul 2020,Guatemala,B.1.1.71,1
25,2020-07,Jul 2020,Paraguai,B.1.1.28,1
21,2020-07,Jul 2020,Bolívia,B.1.600,1
20,2020-07,Jul 2020,Bolívia,B.1.1.33,2
22,2020-07,Jul 2020,Guatemala,B.1,10
19,2020-07,Jul 2020,Bahamas,B.1.1.192,1
27,2020-08,Ago 2020,Bahamas,B.1.1.56,1
28,2020-08,Ago 2020,Bahamas,B.1.395,2
29,2020-08,Ago 2020,Bolívia,B.1,1
30,2020-08,Ago 2020,Bolívia,B.1.1,2
31,2020-08,Ago 2020,Bolívia,B.1.600,3
32,2020-08,Ago 2020,Guatemala,B.1,2
33,2020-08,Ago 2020,Guatemala,B.1.1.368,1
36,2020-09,Set 2020,Paraguai,B.1.1.28,1
37,2020-09,Set 2020,Paraguai,B.1.499,1
34,2020-09,Set 2020,Bahamas,B.1.240,2
35,2020-09,Set 2020,Guatemala,B.1,1
38,2020-10,Out 2020,Bahamas,B.1.240,2
39,2020-10,Out 2020,Guatemala,B.1,1
40,2020-10,Out 2020,Paraguai,B.1,2
41,2020-10,Out 2020,Paraguai,B.1.1.28,1
50,2020-11,Nov 2020,Paraguai,B.1.1.28,1
42,2020-11,Nov 2020,Bahamas,B.1.1,1
43,2020-11,Nov 2020,Bahamas,B.1.1.192,8
