,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-09-06,AP,state,122540,Amapá,273,1.2254,222.8
1,2021-09-06,RS,state,1412828,Rio Grande do Sul,1919,14.12828,135.8
2,2021-09-06,SE,state,277578,Sergipe,350,2.77578,126.1
3,2021-09-06,PE,state,610739,Pernambuco,1596,6.10739,261.3
4,2021-09-06,PA,state,585515,Pará,426,5.85515,72.8
5,2021-09-06,AL,state,236777,Alagoas,532,2.36777,224.7
6,2021-09-06,DF,state,476143,Distrito Federal,88,4.76143,18.5
7,2021-09-06,AM,state,424996,Amazonas,1670,4.24996,392.9
8,2021-09-06,AC,state,87877,Acre,131,0.87877,149.1
9,2021-09-06,ES,state,567037,Espírito Santo,455,5.67037,80.2
10,2021-09-06,CE,state,933490,Ceará,1254,9.3349,134.3
11,2021-09-06,BA,state,1224174,Bahia,869,12.24174,71.0
12,2021-09-06,GO,state,828878,Goiás,2212,8.28878,266.9
13,2021-09-06,MA,state,351106,Maranhão,331,3.51106,94.3
14,2021-09-06,MS,state,370224,Mato Grosso do Sul,285,3.70224,77.0
15,2021-09-06,MT,state,524386,Mato Grosso,156,5.24386,29.7
16,2021-09-06,TO,state,220290,Tocantins,162,2.2029,73.5
17,2021-09-06,SC,state,1162499,Santa Catarina,804,11.62499,69.2
18,2021-09-06,RO,state,263834,Rondônia,34,2.63834,12.9
19,2021-09-06,RR,state,124441,Roraima,39,1.24441,31.3
20,2021-09-06,PR,state,1469154,Paraná,1336,14.69154,90.9
21,2021-09-06,PI,state,317558,Piauí,27,3.17558,8.5
22,2021-09-06,RN,state,365736,Rio Grande do Norte,239,3.65736,65.3
23,2021-09-06,RJ,state,1137927,Rio de Janeiro,5835,11.37927,512.8
24,2021-09-06,MG,state,2081186,Minas Gerais,751,20.81186,36.1
25,2021-09-06,PB,state,435822,Paraíba,406,4.35822,93.2
26,2021-09-06,SP,state,4291993,São Paulo,12379,42.91993,288.4
