,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-08-31,AP,state,122427,Amapá,273,1.22427,223.0
1,2021-08-31,RS,state,1408873,Rio Grande do Sul,1874,14.08873,133.0
2,2021-08-31,SE,state,277455,Sergipe,350,2.77455,126.1
3,2021-08-31,SC,state,1156369,Santa Catarina,804,11.56369,69.5
4,2021-08-31,RR,state,123990,Roraima,39,1.2399,31.5
5,2021-08-31,TO,state,219158,Tocantins,162,2.19158,73.9
6,2021-08-31,SP,state,4262684,São Paulo,12087,42.62684,283.6
7,2021-08-31,GO,state,819494,Goiás,2110,8.19494,257.5
8,2021-08-31,MS,state,368886,Mato Grosso do Sul,278,3.68886,75.4
9,2021-08-31,MT,state,520329,Mato Grosso,156,5.20329,30.0
10,2021-08-31,BA,state,1220792,Bahia,808,12.20792,66.2
11,2021-08-31,CE,state,931561,Ceará,1254,9.31561,134.6
12,2021-08-31,AM,state,424281,Amazonas,1673,4.24281,394.3
13,2021-08-31,AC,state,87823,Acre,131,0.87823,149.2
14,2021-08-31,DF,state,470471,Distrito Federal,85,4.70471,18.1
15,2021-08-31,AL,state,235774,Alagoas,532,2.35774,225.6
16,2021-08-31,ES,state,563031,Espírito Santo,455,5.63031,80.8
17,2021-08-31,MA,state,349064,Maranhão,332,3.49064,95.1
18,2021-08-31,PR,state,1457929,Paraná,1293,14.57929,88.7
19,2021-08-31,RN,state,365177,Rio Grande do Norte,240,3.65177,65.7
20,2021-08-31,RJ,state,1128166,Rio de Janeiro,5837,11.28166,517.4
21,2021-08-31,RO,state,263211,Rondônia,34,2.63211,12.9
22,2021-08-31,MG,state,2066338,Minas Gerais,751,20.66338,36.3
23,2021-08-31,PE,state,607529,Pernambuco,1596,6.07529,262.7
24,2021-08-31,PA,state,584363,Pará,426,5.84363,72.9
25,2021-08-31,PB,state,433322,Paraíba,406,4.33322,93.7
26,2021-08-31,PI,state,316699,Piauí,27,3.16699,8.5
