,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-10-22,AP,state,123398,Amapá,352,1.23398,285.3
1,2021-10-22,RR,state,127154,Roraima,238,1.27154,187.2
2,2021-10-22,PR,state,1542830,Paraná,2070,15.4283,134.2
3,2021-10-22,PI,state,324128,Piauí,143,3.24128,44.1
4,2021-10-22,RN,state,371881,Rio Grande do Norte,412,3.71881,110.8
5,2021-10-22,RJ,state,1312954,Rio de Janeiro,6865,13.12954,522.9
6,2021-10-22,PB,state,444568,Paraíba,703,4.44568,158.1
7,2021-10-22,MG,state,2175842,Minas Gerais,989,21.75842,45.5
8,2021-10-22,RS,state,1456567,Rio Grande do Sul,2160,14.56567,148.3
9,2021-10-22,SC,state,1209712,Santa Catarina,1183,12.09712,97.8
10,2021-10-22,RO,state,268543,Rondônia,47,2.68543,17.5
11,2021-10-22,PE,state,628125,Pernambuco,2134,6.28125,339.7
12,2021-10-22,PA,state,596977,Pará,605,5.96977,101.3
13,2021-10-22,SE,state,278403,Sergipe,422,2.78403,151.6
14,2021-10-22,TO,state,227723,Tocantins,204,2.27723,89.6
15,2021-10-22,MT,state,544943,Mato Grosso,253,5.44943,46.4
16,2021-10-22,MS,state,375819,Mato Grosso do Sul,386,3.75819,102.7
17,2021-10-22,AL,state,239573,Alagoas,642,2.39573,268.0
18,2021-10-22,DF,state,512913,Distrito Federal,334,5.12913,65.1
19,2021-10-22,AM,state,427413,Amazonas,2827,4.27413,661.4
20,2021-10-22,AC,state,88023,Acre,135,0.88023,153.4
21,2021-10-22,GO,state,895883,Goiás,3004,8.95883,335.3
22,2021-10-22,MA,state,359773,Maranhão,404,3.59773,112.3
23,2021-10-22,ES,state,602294,Espírito Santo,1001,6.02294,166.2
24,2021-10-22,CE,state,942744,Ceará,1274,9.42744,135.1
25,2021-10-22,BA,state,1242292,Bahia,1204,12.42292,96.9
26,2021-10-22,SP,state,4396904,São Paulo,19845,43.96904,451.3
