,Date,Laboratório,Período,Quantidade,Acumulado
0,2020-02-01,FIOCRUZ,Fev 2020,3,3
1,2020-02-01,Outros,Fev 2020,5,5
2,2020-03-01,FIOCRUZ,Mar 2020,62,65
3,2020-03-01,Outros,Mar 2020,487,492
4,2020-04-01,FIOCRUZ,Abr 2020,266,331
5,2020-04-01,Outros,Abr 2020,849,1341
6,2020-05-01,FIOCRUZ,Mai 2020,142,473
7,2020-05-01,Outros,Mai 2020,276,1617
8,2020-06-01,FIOCRUZ,Jun 2020,146,619
9,2020-06-01,Outros,Jun 2020,303,1920
10,2020-07-01,FIOCRUZ,Jul 2020,122,741
11,2020-07-01,Outros,Jul 2020,312,2232
12,2020-08-01,FIOCRUZ,Ago 2020,159,900
13,2020-08-01,Outros,Ago 2020,225,2457
14,2020-09-01,FIOCRUZ,Set 2020,282,1182
15,2020-09-01,Outros,Set 2020,149,2606
16,2020-10-01,FIOCRUZ,Out 2020,196,1378
17,2020-10-01,Outros,Out 2020,261,2867
18,2020-11-01,FIOCRUZ,Nov 2020,271,1649
19,2020-11-01,Outros,Nov 2020,504,3371
20,2020-12-01,FIOCRUZ,Dez 2020,379,2028
21,2020-12-01,Outros,Dez 2020,674,4045
22,2021-01-01,FIOCRUZ,Jan 2021,693,2721
23,2021-01-01,Outros,Jan 2021,1232,5277
24,2021-02-01,FIOCRUZ,Fev 2021,1215,3936
25,2021-02-01,Outros,Fev 2021,1494,6771
26,2021-03-01,FIOCRUZ,Mar 2021,1066,5002
27,2021-03-01,Outros,Mar 2021,2970,9741
28,2021-04-01,FIOCRUZ,Abr 2021,1070,6072
29,2021-04-01,Outros,Abr 2021,3955,13696
30,2021-05-01,FIOCRUZ,Mai 2021,1614,7686
31,2021-05-01,Outros,Mai 2021,4849,18545
32,2021-06-01,FIOCRUZ,Jun 2021,2117,9803
33,2021-06-01,Outros,Jun 2021,3935,22480
34,2021-07-01,FIOCRUZ,Jul 2021,2515,12318
35,2021-07-01,Outros,Jul 2021,2953,25433
36,2021-08-01,FIOCRUZ,Ago 2021,2194,14512
37,2021-08-01,Outros,Ago 2021,5039,30472
38,2021-09-01,FIOCRUZ,Set 2021,1099,15611
39,2021-09-01,Outros,Set 2021,3904,34376
40,2021-10-01,FIOCRUZ,Out 2021,1,15612
41,2021-10-01,Outros,Out 2021,90,34466
